Querter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
1,2022,LAX,Los Angeles International,Los Angeles,CA,331.70,358.22," 941,283 "
1,2022,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,333.44,360.10," 768,604 "
1,2022,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,339.85,367.02," 744,001 "
1,2022,DEN,Denver International,Denver,CO,303.82,328.11," 743,828 "
1,2022,EWR,Newark Liberty International,Newark,NJ,331.40,357.89," 696,941 "
1,2022,BOS,Logan International,Boston,MA,339.72,366.88," 689,719 "
1,2022,SEA,Seattle/Tacoma International,Seattle,WA,338.22,365.26," 650,806 "
1,2022,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,359.82,388.59," 626,404 "
1,2022,MCO,Orlando International,Orlando,FL,248.19,268.03," 619,182 "
1,2022,SFO,San Francisco International,San Francisco,CA,364.06,393.16," 603,738 "
1,2022,PHX,Phoenix Sky Harbor International,Phoenix,AZ,314.80,339.97," 586,781 "
1,2022,LGA,LaGuardia,New York-La Guardia,NY,272.13,293.88," 548,754 "
1,2022,JFK,John F. Kennedy International,New York-JFK,NY,349.85,377.82," 542,893 "
1,2022,LAS,Harry Reid International,Las Vegas,NV,239.77,258.94," 505,713 "
1,2022,MSP,Minneapolis-St Paul International,Minneapolis,MN,376.07,406.13," 465,865 "
1,2022,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,353.81,382.10," 441,705 "
1,2022,PHL,Philadelphia International,Philadelphia,PA,334.34,361.07," 438,509 "
1,2022,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,246.74,266.47," 427,330 "
1,2022,SAN,San Diego International,San Diego,CA,329.83,356.20," 419,354 "
1,2022,DTW,Detroit Metro Wayne County,Detroit,MI,378.37,408.61," 412,494 "
1,2022,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,324.65,350.61," 380,547 "
1,2022,TPA,Tampa International,Tampa,FL,274.03,295.94," 375,092 "
1,2022,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,305.90,330.36," 355,097 "
1,2022,AUS,Austin - Bergstrom International,Austin,TX,317.41,342.78," 346,713 "
1,2022,MIA,Miami International,Miami,FL,281.04,303.51," 345,604 "
1,2022,PDX,Portland International,Portland,OR,365.21,394.40," 316,001 "
1,2022,BNA,Nashville International,Nashville,TN,310.58,335.41," 309,561 "
1,2022,SLC,Salt Lake City International,Salt Lake City,UT,379.81,410.17," 306,731 "
1,2022,CLT,Charlotte Douglas International,Charlotte,NC,381.77,412.29," 299,028 "
1,2022,RDU,Raleigh-Durham International,Raleigh/Durham,NC,319.93,345.50," 280,802 "
1,2022,SMF,Sacramento International,Sacramento,CA,317.48,342.85," 259,223 "
1,2022,HNL,Daniel K Inouye International,Honolulu,HI,309.68,334.43," 256,498 "
1,2022,MDW,Chicago Midway International,Chicago-Midway,IL,289.54,312.69," 256,060 "
