Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
3,2020,LAX,Los Angeles International,Los Angeles,CA,250.19,295.52," 941,283 "
3,2020,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,209.33,247.26," 768,604 "
3,2020,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,250.26,295.61," 744,001 "
3,2020,DEN,Denver International,Denver,CO,214.75,253.67," 743,828 "
3,2020,EWR,Newark Liberty International,Newark,NJ,215.01,253.97," 696,941 "
3,2020,BOS,Logan International,Boston,MA,233.59,275.91," 689,719 "
3,2020,SEA,Seattle/Tacoma International,Seattle,WA,254.61,300.75," 650,806 "
3,2020,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,263.12,310.79," 626,404 "
3,2020,MCO,Orlando International,Orlando,FL,191.86,226.63," 619,182 "
3,2020,SFO,San Francisco International,San Francisco,CA,287.45,339.53," 603,738 "
3,2020,PHX,Phoenix Sky Harbor International,Phoenix,AZ,244.91,289.28," 586,781 "
3,2020,LGA,LaGuardia,New York-La Guardia,NY,211.44,249.75," 548,754 "
3,2020,JFK,John F. Kennedy International,New York-JFK,NY,281.08,332.01," 542,893 "
3,2020,LAS,Harry Reid International,Las Vegas,NV,186.01,219.71," 505,713 "
3,2020,MSP,Minneapolis-St Paul International,Minneapolis,MN,239.39,282.77," 465,865 "
3,2020,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,266.48,314.77," 441,705 "
3,2020,PHL,Philadelphia International,Philadelphia,PA,218.63,258.25," 438,509 "
3,2020,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,185.73,219.38," 427,330 "
3,2020,SAN,San Diego International,San Diego,CA,249.87,295.14," 419,354 "
3,2020,DTW,Detroit Metro Wayne County,Detroit,MI,253.57,299.52," 412,494 "
3,2020,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,255.74,302.08," 380,547 "
3,2020,TPA,Tampa International,Tampa,FL,230.78,272.59," 375,092 "
3,2020,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,220.46,260.41," 355,097 "
3,2020,AUS,Austin - Bergstrom International,Austin,TX,244.87,289.24," 346,713 "
3,2020,MIA,Miami International,Miami,FL,214.84,253.77," 345,604 "
3,2020,PDX,Portland International,Portland,OR,257.35,303.98," 316,001 "
3,2020,BNA,Nashville International,Nashville,TN,225.26,266.07," 309,561 "
3,2020,SLC,Salt Lake City International,Salt Lake City,UT,288.44,340.71," 306,731 "
3,2020,CLT,Charlotte Douglas International,Charlotte,NC,279.57,330.22," 299,028 "
3,2020,RDU,Raleigh-Durham International,Raleigh/Durham,NC,246.81,291.53," 280,802 "
3,2020,SMF,Sacramento International,Sacramento,CA,251.34,296.89," 259,223 "
3,2020,HNL,Daniel K Inouye International,Honolulu,HI,267.52,315.99," 256,498 "
3,2020,MDW,Chicago Midway International,Chicago-Midway,IL,185.29,218.86," 256,060 "
3,2020,STL,St Louis Lambert International,St. Louis,MO,242.90,286.91," 228,095 "
3,2020,SJC,Norman Y. Mineta San Jose International,San Jose,CA,222.66,263.00," 220,072 "
3,2020,IAD,Washington Dulles International,Washington-Dulles,DC,301.95,356.66," 216,137 "
3,2020,MCI,Kansas City International,Kansas City,MO,246.47,291.13," 213,053 "
3,2020,SNA,John Wayne Airport-Orange County,Santa Ana,CA,271.18,320.31," 204,936 "
3,2020,DAL,Dallas Love Field,Dallas-Love Field,TX,215.22,254.21," 202,583 "
3,2020,CLE,Cleveland-Hopkins International,Cleveland,OH,211.19,249.46," 201,673 "
3,2020,OAK,Metro Oakland International,Oakland,CA,202.82,239.58," 200,137 "
3,2020,IND,Indianapolis International,Indianapolis,IN,240.43,284.00," 198,766 "
3,2020,MSY,Louis Armstrong New Orleans International,New Orleans,LA,219.35,259.09," 193,064 "
3,2020,SAT,San Antonio International,San Antonio,TX,260.73,307.97," 192,841 "
3,2020,PIT,Pittsburgh International,Pittsburgh,PA,239.16,282.50," 191,112 "
3,2020,SJU,Luis Munoz Marin International,San Juan,PR,177.15,209.25," 189,783 "
3,2020,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,219.98,259.84," 185,119 "
3,2020,CMH,John Glenn Columbus International,Columbus,OH,245.53,290.02," 169,279 "
3,2020,HOU,William P Hobby,Houston-Hobby,TX,226.47,267.50," 158,759 "
3,2020,BDL,Bradley International,Hartford,CT,252.96,298.80," 149,278 "
3,2020,RSW,Southwest Florida International,Fort Myers,FL,231.04,272.90," 145,234 "
3,2020,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,257.24,303.86," 138,930 "
3,2020,JAX,Jacksonville International,Jacksonville,FL,256.61,303.11," 136,835 "
3,2020,ONT,Ontario International,Ontario,CA,259.18,306.15," 133,763 "
3,2020,MKE,General Mitchell International,Milwaukee,WI,248.23,293.20," 128,618 "
3,2020,BUR,Bob Hope,Burbank,CA,219.57,259.35," 121,569 "
3,2020,RIC,Richmond International,Richmond,VA,261.06,308.37," 104,981 "
3,2020,OMA,Eppley Airfield,Omaha,NE,245.30,289.75," 103,299 "
3,2020,CHS,Charleston AFB/International,Charleston,SC,253.71,299.68," 103,220 "
3,2020,BUF,Buffalo Niagara International,Buffalo,NY,239.03,282.34," 99,498 "
3,2020,MEM,Memphis International,Memphis,TN,251.96,297.61," 96,749 "
3,2020,BOI,Boise Air Terminal,Boise,ID,252.49,298.24," 95,676 "
3,2020,ORF,Norfolk International,Norfolk,VA,282.33,333.48," 93,202 "
3,2020,ABQ,Albuquerque International Sunport,Albuquerque,NM,239.08,282.40," 93,085 "
3,2020,SDF,Louisville Muhammad Ali International,Louisville,KY,248.82,293.90," 88,827 "
3,2020,OGG,Kahului Airport,Kahului,HI,201.30,237.78," 87,156 "
3,2020,ANC,Ted Stevens Anchorage International,Anchorage,AK,372.16,439.60," 86,346 "
3,2020,OKC,Will Rogers World,Oklahoma City,OK,262.30,309.83," 85,569 "
3,2020,GRR,Gerald R. Ford International,Grand Rapids,MI,247.90,292.82," 84,779 "
3,2020,ELP,El Paso International,El Paso,TX,259.29,306.27," 84,067 "
3,2020,GEG,Spokane International,Spokane,WA,262.53,310.10," 81,039 "
3,2020,PVD,Rhode Island Tf Green International,Providence,RI,227.61,268.85," 78,143 "
3,2020,RNO,Reno/Tahoe International,Reno,NV,256.04,302.43," 77,297 "
3,2020,TUS,Tucson International,Tucson,AZ,267.71,316.22," 72,129 "
3,2020,DSM,Des Moines International,Des Moines,IA,233.85,276.23," 68,593 "
3,2020,LGB,Long Beach Airport,Long Beach,CA,201.42,237.91," 66,667 "
3,2020,SYR,Syracuse Hancock International,Syracuse,NY,270.38,319.38," 64,393 "
3,2020,TUL,Tulsa International,Tulsa,OK,253.16,299.03," 63,276 "
3,2020,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,247.89,292.81," 63,095 "
3,2020,SAV,Savannah/Hilton Head International,Savannah,GA,288.97,341.33," 60,848 "
3,2020,ALB,Albany International,Albany,NY,253.30,299.19," 60,750 "
3,2020,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,250.61,296.02," 60,469 "
3,2020,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,276.34,326.41," 59,880 "
3,2020,HPN,Westchester County,White Plains,NY,256.51,302.99," 59,717 "
3,2020,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,212.67,251.21," 56,370 "
3,2020,TYS,McGhee Tyson,Knoxville,TN,272.92,322.37," 52,127 "
3,2020,GSP,Greenville-Spartanburg International,Greer,SC,273.45,323.00," 49,712 "
3,2020,PNS,Pensacola International,Pensacola,FL,257.60,304.28," 48,548 "
3,2020,MYR,Myrtle Beach International,Myrtle Beach,SC,193.72,228.82," 48,441 "
3,2020,LIH,Lihue Airport,Lihue,HI,180.44,213.14," 48,397 "
