Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
3,2021,LAX,Los Angeles International,Los Angeles,CA,330.61,370.74," 941,283 "
3,2021,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,290.44,325.69," 768,604 "
3,2021,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,310.73,348.44," 744,001 "
3,2021,DEN,Denver International,Denver,CO,269.20,301.87," 743,828 "
3,2021,EWR,Newark Liberty International,Newark,NJ,341.81,383.30," 696,941 "
3,2021,BOS,Logan International,Boston,MA,348.62,390.93," 689,719 "
3,2021,SEA,Seattle/Tacoma International,Seattle,WA,306.79,344.02," 650,806 "
3,2021,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,328.70,368.59," 626,404 "
3,2021,MCO,Orlando International,Orlando,FL,223.65,250.79," 619,182 "
3,2021,SFO,San Francisco International,San Francisco,CA,399.11,447.55," 603,738 "
3,2021,PHX,Phoenix Sky Harbor International,Phoenix,AZ,296.00,331.93," 586,781 "
3,2021,LGA,LaGuardia,New York-La Guardia,NY,300.05,336.47," 548,754 "
3,2021,JFK,John F. Kennedy International,New York-JFK,NY,361.66,405.55," 542,893 "
3,2021,LAS,Harry Reid International,Las Vegas,NV,232.81,261.07," 505,713 "
3,2021,MSP,Minneapolis-St Paul International,Minneapolis,MN,310.50,348.19," 465,865 "
3,2021,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,329.72,369.73," 441,705 "
3,2021,PHL,Philadelphia International,Philadelphia,PA,319.87,358.69," 438,509 "
3,2021,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,218.65,245.19," 427,330 "
3,2021,SAN,San Diego International,San Diego,CA,333.45,373.92," 419,354 "
3,2021,DTW,Detroit Metro Wayne County,Detroit,MI,326.88,366.55," 412,494 "
3,2021,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,334.35,374.93," 380,547 "
3,2021,TPA,Tampa International,Tampa,FL,265.03,297.19," 375,092 "
3,2021,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,305.48,342.56," 355,097 "
3,2021,AUS,Austin - Bergstrom International,Austin,TX,298.73,334.98," 346,713 "
3,2021,MIA,Miami International,Miami,FL,252.40,283.03," 345,604 "
3,2021,PDX,Portland International,Portland,OR,342.58,384.15," 316,001 "
3,2021,BNA,Nashville International,Nashville,TN,284.04,318.52," 309,561 "
3,2021,SLC,Salt Lake City International,Salt Lake City,UT,318.74,357.43," 306,731 "
3,2021,CLT,Charlotte Douglas International,Charlotte,NC,351.48,394.13," 299,028 "
3,2021,RDU,Raleigh-Durham International,Raleigh/Durham,NC,304.95,341.96," 280,802 "
3,2021,SMF,Sacramento International,Sacramento,CA,332.79,373.18," 259,223 "
3,2021,HNL,Daniel K Inouye International,Honolulu,HI,338.12,379.15," 256,498 "
3,2021,MDW,Chicago Midway International,Chicago-Midway,IL,254.43,285.31," 256,060 "
3,2021,STL,St Louis Lambert International,St. Louis,MO,312.56,350.49," 228,095 "
3,2021,SJC,Norman Y. Mineta San Jose International,San Jose,CA,315.74,354.06," 220,072 "
3,2021,IAD,Washington Dulles International,Washington-Dulles,DC,415.20,465.59," 216,137 "
3,2021,MCI,Kansas City International,Kansas City,MO,326.42,366.04," 213,053 "
3,2021,SNA,John Wayne Airport-Orange County,Santa Ana,CA,319.19,357.93," 204,936 "
3,2021,DAL,Dallas Love Field,Dallas-Love Field,TX,267.74,300.23," 202,583 "
3,2021,CLE,Cleveland-Hopkins International,Cleveland,OH,290.10,325.31," 201,673 "
3,2021,OAK,Metro Oakland International,Oakland,CA,281.61,315.79," 200,137 "
3,2021,IND,Indianapolis International,Indianapolis,IN,307.14,344.42," 198,766 "
3,2021,MSY,Louis Armstrong New Orleans International,New Orleans,LA,274.52,307.84," 193,064 "
3,2021,SAT,San Antonio International,San Antonio,TX,336.89,377.77," 192,841 "
3,2021,PIT,Pittsburgh International,Pittsburgh,PA,326.09,365.67," 191,112 "
3,2021,SJU,Luis Munoz Marin International,San Juan,PR,255.42,286.42," 189,783 "
3,2021,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,285.58,320.24," 185,119 "
3,2021,CMH,John Glenn Columbus International,Columbus,OH,321.71,360.75," 169,279 "
3,2021,HOU,William P Hobby,Houston-Hobby,TX,284.18,318.67," 158,759 "
3,2021,BDL,Bradley International,Hartford,CT,334.20,374.76," 149,278 "
3,2021,RSW,Southwest Florida International,Fort Myers,FL,268.97,301.62," 145,234 "
3,2021,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,303.86,340.74," 138,930 "
3,2021,JAX,Jacksonville International,Jacksonville,FL,320.01,358.85," 136,835 "
3,2021,ONT,Ontario International,Ontario,CA,307.67,345.01," 133,763 "
3,2021,MKE,General Mitchell International,Milwaukee,WI,328.81,368.72," 128,618 "
3,2021,BUR,Bob Hope,Burbank,CA,252.50,283.15," 121,569 "
3,2021,RIC,Richmond International,Richmond,VA,333.56,374.04," 104,981 "
3,2021,OMA,Eppley Airfield,Omaha,NE,335.72,376.47," 103,299 "
3,2021,CHS,Charleston AFB/International,Charleston,SC,286.65,321.44," 103,220 "
3,2021,BUF,Buffalo Niagara International,Buffalo,NY,317.19,355.69," 99,498 "
3,2021,MEM,Memphis International,Memphis,TN,325.30,364.78," 96,749 "
3,2021,BOI,Boise Air Terminal,Boise,ID,292.95,328.51," 95,676 "
3,2021,ORF,Norfolk International,Norfolk,VA,353.08,395.94," 93,202 "
3,2021,ABQ,Albuquerque International Sunport,Albuquerque,NM,359.12,402.71," 93,085 "
3,2021,SDF,Louisville Muhammad Ali International,Louisville,KY,299.91,336.30," 88,827 "
3,2021,OGG,Kahului Airport,Kahului,HI,274.45,307.76," 87,156 "
3,2021,ANC,Ted Stevens Anchorage International,Anchorage,AK,384.13,430.75," 86,346 "
3,2021,OKC,Will Rogers World,Oklahoma City,OK,339.98,381.24," 85,569 "
3,2021,GRR,Gerald R. Ford International,Grand Rapids,MI,324.37,363.74," 84,779 "
3,2021,ELP,El Paso International,El Paso,TX,330.52,370.64," 84,067 "
3,2021,GEG,Spokane International,Spokane,WA,317.69,356.25," 81,039 "
3,2021,PVD,Rhode Island Tf Green International,Providence,RI,341.27,382.69," 78,143 "
3,2021,RNO,Reno/Tahoe International,Reno,NV,315.25,353.51," 77,297 "
3,2021,TUS,Tucson International,Tucson,AZ,350.10,392.58," 72,129 "
3,2021,DSM,Des Moines International,Des Moines,IA,331.34,371.55," 68,593 "
3,2021,LGB,Long Beach Airport,Long Beach,CA,272.99,306.13," 66,667 "
3,2021,SYR,Syracuse Hancock International,Syracuse,NY,378.29,424.20," 64,393 "
3,2021,TUL,Tulsa International,Tulsa,OK,342.27,383.81," 63,276 "
3,2021,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,271.43,304.37," 63,095 "
3,2021,SAV,Savannah/Hilton Head International,Savannah,GA,289.35,324.46," 60,848 "
3,2021,ALB,Albany International,Albany,NY,376.24,421.90," 60,750 "
3,2021,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,374.07,419.47," 60,469 "
3,2021,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,381.74,428.07," 59,880 "
3,2021,HPN,Westchester County,White Plains,NY,357.74,401.16," 59,717 "
3,2021,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,265.11,297.28," 56,370 "
3,2021,TYS,McGhee Tyson,Knoxville,TN,365.62,409.99," 52,127 "
3,2021,GSP,Greenville-Spartanburg International,Greer,SC,369.24,414.05," 49,712 "
3,2021,PNS,Pensacola International,Pensacola,FL,301.77,338.39," 48,548 "
3,2021,MYR,Myrtle Beach International,Myrtle Beach,SC,201.41,225.86," 48,441 "
3,2021,LIH,Lihue Airport,Lihue,HI,261.05,292.73," 48,397 "
3,2021,FAT,Fresno Yosemite International,Fresno,CA,337.07,377.98," 46,134 "
3,2021,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,350.23,392.73," 45,445 "
3,2021,COS,City of Colorado Springs Municipal,Colorado Springs,CO,313.85,351.95," 45,269 "
3,2021,PWM,Portland International Jetport,Portland,ME,340.92,382.30," 44,250 "
3,2021,MSN,Dane County Regional-Truax Field,Madison,WI,397.89,446.18," 43,704 "
