Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
2,2021,LAX,Los Angeles International,Los Angeles,CA,314.67,358.51," 941,283 "
2,2021,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,272.57,310.55," 768,604 "
2,2021,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,295.73,336.92," 744,001 "
2,2021,DEN,Denver International,Denver,CO,265.67,302.69," 743,828 "
2,2021,EWR,Newark Liberty International,Newark,NJ,301.78,343.82," 696,941 "
2,2021,BOS,Logan International,Boston,MA,322.44,367.36," 689,719 "
2,2021,SEA,Seattle/Tacoma International,Seattle,WA,293.08,333.91," 650,806 "
2,2021,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,313.22,356.86," 626,404 "
2,2021,MCO,Orlando International,Orlando,FL,213.18,242.87," 619,182 "
2,2021,SFO,San Francisco International,San Francisco,CA,389.49,443.75," 603,738 "
2,2021,PHX,Phoenix Sky Harbor International,Phoenix,AZ,289.11,329.39," 586,781 "
2,2021,LGA,LaGuardia,New York-La Guardia,NY,277.22,315.84," 548,754 "
2,2021,JFK,John F. Kennedy International,New York-JFK,NY,320.25,364.87," 542,893 "
2,2021,LAS,Harry Reid International,Las Vegas,NV,227.06,258.69," 505,713 "
2,2021,MSP,Minneapolis-St Paul International,Minneapolis,MN,285.58,325.37," 465,865 "
2,2021,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,325.16,370.46," 441,705 "
2,2021,PHL,Philadelphia International,Philadelphia,PA,293.28,334.14," 438,509 "
2,2021,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,207.55,236.46," 427,330 "
2,2021,SAN,San Diego International,San Diego,CA,321.72,366.55," 419,354 "
2,2021,DTW,Detroit Metro Wayne County,Detroit,MI,303.32,345.58," 412,494 "
2,2021,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,318.71,363.11," 380,547 "
2,2021,TPA,Tampa International,Tampa,FL,253.71,289.06," 375,092 "
2,2021,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,282.23,321.55," 355,097 "
2,2021,AUS,Austin - Bergstrom International,Austin,TX,292.87,333.67," 346,713 "
2,2021,MIA,Miami International,Miami,FL,246.03,280.30," 345,604 "
2,2021,PDX,Portland International,Portland,OR,323.48,368.55," 316,001 "
2,2021,BNA,Nashville International,Nashville,TN,277.74,316.44," 309,561 "
2,2021,SLC,Salt Lake City International,Salt Lake City,UT,332.18,378.46," 306,731 "
2,2021,CLT,Charlotte Douglas International,Charlotte,NC,330.50,376.54," 299,028 "
2,2021,RDU,Raleigh-Durham International,Raleigh/Durham,NC,290.69,331.19," 280,802 "
2,2021,SMF,Sacramento International,Sacramento,CA,326.76,372.28," 259,223 "
2,2021,HNL,Daniel K Inouye International,Honolulu,HI,329.93,375.90," 256,498 "
2,2021,MDW,Chicago Midway International,Chicago-Midway,IL,244.36,278.40," 256,060 "
2,2021,STL,St Louis Lambert International,St. Louis,MO,311.03,354.36," 228,095 "
2,2021,SJC,Norman Y. Mineta San Jose International,San Jose,CA,306.53,349.24," 220,072 "
2,2021,IAD,Washington Dulles International,Washington-Dulles,DC,395.09,450.13," 216,137 "
2,2021,MCI,Kansas City International,Kansas City,MO,320.90,365.60," 213,053 "
2,2021,SNA,John Wayne Airport-Orange County,Santa Ana,CA,303.52,345.81," 204,936 "
2,2021,DAL,Dallas Love Field,Dallas-Love Field,TX,258.74,294.78," 202,583 "
2,2021,CLE,Cleveland-Hopkins International,Cleveland,OH,270.63,308.33," 201,673 "
2,2021,OAK,Metro Oakland International,Oakland,CA,273.56,311.68," 200,137 "
2,2021,IND,Indianapolis International,Indianapolis,IN,298.58,340.18," 198,766 "
2,2021,MSY,Louis Armstrong New Orleans International,New Orleans,LA,269.63,307.20," 193,064 "
2,2021,SAT,San Antonio International,San Antonio,TX,328.75,374.55," 192,841 "
2,2021,PIT,Pittsburgh International,Pittsburgh,PA,303.91,346.25," 191,112 "
2,2021,SJU,Luis Munoz Marin International,San Juan,PR,226.26,257.78," 189,783 "
2,2021,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,279.71,318.68," 185,119 "
2,2021,CMH,John Glenn Columbus International,Columbus,OH,308.32,351.27," 169,279 "
2,2021,HOU,William P Hobby,Houston-Hobby,TX,273.43,311.52," 158,759 "
2,2021,BDL,Bradley International,Hartford,CT,328.30,374.04," 149,278 "
2,2021,RSW,Southwest Florida International,Fort Myers,FL,257.36,293.22," 145,234 "
2,2021,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,293.75,334.67," 138,930 "
2,2021,JAX,Jacksonville International,Jacksonville,FL,314.55,358.38," 136,835 "
2,2021,ONT,Ontario International,Ontario,CA,303.19,345.43," 133,763 "
2,2021,MKE,General Mitchell International,Milwaukee,WI,320.52,365.17," 128,618 "
2,2021,BUR,Bob Hope,Burbank,CA,262.41,298.96," 121,569 "
2,2021,RIC,Richmond International,Richmond,VA,319.06,363.51," 104,981 "
2,2021,OMA,Eppley Airfield,Omaha,NE,334.80,381.45," 103,299 "
2,2021,CHS,Charleston AFB/International,Charleston,SC,305.01,347.50," 103,220 "
2,2021,BUF,Buffalo Niagara International,Buffalo,NY,315.26,359.19," 99,498 "
2,2021,MEM,Memphis International,Memphis,TN,316.99,361.15," 96,749 "
2,2021,BOI,Boise Air Terminal,Boise,ID,295.85,337.07," 95,676 "
2,2021,ORF,Norfolk International,Norfolk,VA,353.21,402.42," 93,202 "
2,2021,ABQ,Albuquerque International Sunport,Albuquerque,NM,351.95,400.98," 93,085 "
2,2021,SDF,Louisville Muhammad Ali International,Louisville,KY,312.27,355.78," 88,827 "
2,2021,OGG,Kahului Airport,Kahului,HI,281.75,321.00," 87,156 "
2,2021,ANC,Ted Stevens Anchorage International,Anchorage,AK,385.99,439.76," 86,346 "
