Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
1,2020,LAX,Los Angeles International,Los Angeles,CA,328.16,389.89," 941,283 "
1,2020,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,332.04,394.51," 768,604 "
1,2020,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,359.58,427.22," 744,001 "
1,2020,DEN,Denver International,Denver,CO,295.96,351.63," 743,828 "
1,2020,EWR,Newark Liberty International,Newark,NJ,369.92,439.51," 696,941 "
1,2020,BOS,Logan International,Boston,MA,324.85,385.96," 689,719 "
1,2020,SEA,Seattle/Tacoma International,Seattle,WA,307.52,365.37," 650,806 "
1,2020,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,400.52,475.86," 626,404 "
1,2020,MCO,Orlando International,Orlando,FL,239.79,284.89," 619,182 "
1,2020,SFO,San Francisco International,San Francisco,CA,371.76,441.70," 603,738 "
1,2020,PHX,Phoenix Sky Harbor International,Phoenix,AZ,321.07,381.46," 586,781 "
1,2020,LGA,LaGuardia,New York-La Guardia,NY,323.66,384.55," 548,754 "
1,2020,JFK,John F. Kennedy International,New York-JFK,NY,388.19,461.22," 542,893 "
1,2020,LAS,Harry Reid International,Las Vegas,NV,233.78,277.75," 505,713 "
1,2020,MSP,Minneapolis-St Paul International,Minneapolis,MN,368.08,437.32," 465,865 "
1,2020,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,394.33,468.51," 441,705 "
1,2020,PHL,Philadelphia International,Philadelphia,PA,364.29,432.82," 438,509 "
1,2020,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,242.55,288.17," 427,330 "
1,2020,SAN,San Diego International,San Diego,CA,303.99,361.17," 419,354 "
1,2020,DTW,Detroit Metro Wayne County,Detroit,MI,362.01,430.10," 412,494 "
1,2020,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,359.93,427.63," 380,547 "
1,2020,TPA,Tampa International,Tampa,FL,289.28,343.69," 375,092 "
1,2020,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,308.59,366.64," 355,097 "
1,2020,AUS,Austin - Bergstrom International,Austin,TX,317.02,376.66," 346,713 "
1,2020,MIA,Miami International,Miami,FL,314.31,373.44," 345,604 "
1,2020,PDX,Portland International,Portland,OR,308.35,366.35," 316,001 "
1,2020,BNA,Nashville International,Nashville,TN,326.36,387.75," 309,561 "
1,2020,SLC,Salt Lake City International,Salt Lake City,UT,364.52,433.09," 306,731 "
1,2020,CLT,Charlotte Douglas International,Charlotte,NC,393.32,467.30," 299,028 "
1,2020,RDU,Raleigh-Durham International,Raleigh/Durham,NC,322.21,382.82," 280,802 "
1,2020,SMF,Sacramento International,Sacramento,CA,308.99,367.12," 259,223 "
1,2020,HNL,Daniel K Inouye International,Honolulu,HI,300.93,357.54," 256,498 "
1,2020,MDW,Chicago Midway International,Chicago-Midway,IL,281.92,334.95," 256,060 "
1,2020,STL,St Louis Lambert International,St. Louis,MO,363.53,431.92," 228,095 "
