Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
3,2022,LAX,Los Angeles International,Los Angeles,CA,426.37,441.35," 941,283 "
3,2022,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,375.37,388.56," 768,604 "
3,2022,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,400.91,415.00," 744,001 "
3,2022,DEN,Denver International,Denver,CO,345.53,357.67," 743,828 "
3,2022,EWR,Newark Liberty International,Newark,NJ,420.19,434.96," 696,941 "
3,2022,BOS,Logan International,Boston,MA,384.69,398.21," 689,719 "
3,2022,SEA,Seattle/Tacoma International,Seattle,WA,425.53,440.48," 650,806 "
3,2022,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,431.89,447.07," 626,404 "
3,2022,MCO,Orlando International,Orlando,FL,275.70,285.39," 619,182 "
3,2022,SFO,San Francisco International,San Francisco,CA,456.84,472.89," 603,738 "
3,2022,PHX,Phoenix Sky Harbor International,Phoenix,AZ,371.80,384.86," 586,781 "
3,2022,LGA,LaGuardia,New York-La Guardia,NY,313.53,324.55," 548,754 "
3,2022,JFK,John F. Kennedy International,New York-JFK,NY,419.75,434.50," 542,893 "
3,2022,LAS,Harry Reid International,Las Vegas,NV,255.46,264.44," 505,713 "
3,2022,MSP,Minneapolis-St Paul International,Minneapolis,MN,413.59,428.13," 465,865 "
3,2022,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,405.02,419.25," 441,705 "
3,2022,PHL,Philadelphia International,Philadelphia,PA,405.90,420.16," 438,509 "
3,2022,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,278.95,288.75," 427,330 "
3,2022,SAN,San Diego International,San Diego,CA,372.42,385.51," 419,354 "
3,2022,DTW,Detroit Metro Wayne County,Detroit,MI,432.99,448.21," 412,494 "
3,2022,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,376.45,389.68," 380,547 "
3,2022,TPA,Tampa International,Tampa,FL,344.33,356.43," 375,092 "
3,2022,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,353.69,366.12," 355,097 "
3,2022,AUS,Austin - Bergstrom International,Austin,TX,364.76,377.57," 346,713 "
3,2022,MIA,Miami International,Miami,FL,330.23,341.84," 345,604 "
3,2022,PDX,Portland International,Portland,OR,439.87,455.33," 316,001 "
3,2022,BNA,Nashville International,Nashville,TN,341.46,353.46," 309,561 "
3,2022,SLC,Salt Lake City International,Salt Lake City,UT,414.81,429.39," 306,731 "
3,2022,CLT,Charlotte Douglas International,Charlotte,NC,458.35,474.45," 299,028 "
3,2022,RDU,Raleigh-Durham International,Raleigh/Durham,NC,385.13,398.67," 280,802 "
3,2022,SMF,Sacramento International,Sacramento,CA,364.24,377.04," 259,223 "
3,2022,HNL,Daniel K Inouye International,Honolulu,HI,351.17,363.51," 256,498 "
3,2022,MDW,Chicago Midway International,Chicago-Midway,IL,298.46,308.95," 256,060 "
3,2022,STL,St Louis Lambert International,St. Louis,MO,380.92,394.31," 228,095 "
3,2022,SJC,Norman Y. Mineta San Jose International,San Jose,CA,317.80,328.97," 220,072 "
3,2022,IAD,Washington Dulles International,Washington-Dulles,DC,508.29,526.15," 216,137 "
3,2022,MCI,Kansas City International,Kansas City,MO,396.25,410.17," 213,053 "
3,2022,SNA,John Wayne Airport-Orange County,Santa Ana,CA,385.96,399.52," 204,936 "
3,2022,DAL,Dallas Love Field,Dallas-Love Field,TX,333.93,345.66," 202,583 "
3,2022,CLE,Cleveland-Hopkins International,Cleveland,OH,359.34,371.96," 201,673 "
3,2022,OAK,Metro Oakland International,Oakland,CA,284.16,294.15," 200,137 "
3,2022,IND,Indianapolis International,Indianapolis,IN,399.73,413.77," 198,766 "
3,2022,MSY,Louis Armstrong New Orleans International,New Orleans,LA,307.86,318.68," 193,064 "
3,2022,SAT,San Antonio International,San Antonio,TX,384.50,398.01," 192,841 "
3,2022,PIT,Pittsburgh International,Pittsburgh,PA,393.67,407.50," 191,112 "
3,2022,SJU,Luis Munoz Marin International,San Juan,PR,319.59,330.82," 189,783 "
3,2022,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,363.82,376.61," 185,119 "
3,2022,CMH,John Glenn Columbus International,Columbus,OH,407.65,421.98," 169,279 "
