Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
4,2019,LAX,Los Angeles International,Los Angeles,CA,372.10,443.95," 941,283 "
4,2019,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,345.60,412.33," 768,604 "
4,2019,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,367.97,439.02," 744,001 "
4,2019,DEN,Denver International,Denver,CO,309.89,369.73," 743,828 "
4,2019,EWR,Newark Liberty International,Newark,NJ,411.96,491.51," 696,941 "
4,2019,BOS,Logan International,Boston,MA,344.63,411.17," 689,719 "
4,2019,SEA,Seattle/Tacoma International,Seattle,WA,350.05,417.64," 650,806 "
4,2019,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,401.39,478.90," 626,404 "
4,2019,MCO,Orlando International,Orlando,FL,252.15,300.83," 619,182 "
4,2019,SFO,San Francisco International,San Francisco,CA,420.22,501.36," 603,738 "
4,2019,PHX,Phoenix Sky Harbor International,Phoenix,AZ,346.10,412.92," 586,781 "
4,2019,LGA,LaGuardia,New York-La Guardia,NY,354.24,422.64," 548,754 "
4,2019,JFK,John F. Kennedy International,New York-JFK,NY,428.12,510.79," 542,893 "
4,2019,LAS,Harry Reid International,Las Vegas,NV,241.32,287.91," 505,713 "
4,2019,MSP,Minneapolis-St Paul International,Minneapolis,MN,362.92,432.99," 465,865 "
4,2019,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,406.50,484.99," 441,705 "
4,2019,PHL,Philadelphia International,Philadelphia,PA,370.51,442.06," 438,509 "
4,2019,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,250.21,298.52," 427,330 "
4,2019,SAN,San Diego International,San Diego,CA,337.79,403.02," 419,354 "
4,2019,DTW,Detroit Metro Wayne County,Detroit,MI,381.97,455.73," 412,494 "
4,2019,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,377.07,449.88," 380,547 "
4,2019,TPA,Tampa International,Tampa,FL,306.84,366.09," 375,092 "
4,2019,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,324.13,386.71," 355,097 "
4,2019,AUS,Austin - Bergstrom International,Austin,TX,345.10,411.73," 346,713 "
4,2019,MIA,Miami International,Miami,FL,324.40,387.04," 345,604 "
4,2019,PDX,Portland International,Portland,OR,348.23,415.48," 316,001 "
4,2019,BNA,Nashville International,Nashville,TN,332.34,396.51," 309,561 "
4,2019,SLC,Salt Lake City International,Salt Lake City,UT,375.19,447.64," 306,731 "
4,2019,CLT,Charlotte Douglas International,Charlotte,NC,396.25,472.77," 299,028 "
