Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
4,2020,LAX,Los Angeles International,Los Angeles,CA,268.09,315.94," 941,283 "
4,2020,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,225.96,266.29," 768,604 "
4,2020,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,260.18,306.62," 744,001 "
4,2020,DEN,Denver International,Denver,CO,222.43,262.13," 743,828 "
4,2020,EWR,Newark Liberty International,Newark,NJ,232.26,273.71," 696,941 "
4,2020,BOS,Logan International,Boston,MA,243.41,286.86," 689,719 "
4,2020,SEA,Seattle/Tacoma International,Seattle,WA,285.09,335.98," 650,806 "
4,2020,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,269.53,317.64," 626,404 "
4,2020,MCO,Orlando International,Orlando,FL,191.31,225.45," 619,182 "
4,2020,SFO,San Francisco International,San Francisco,CA,305.60,360.15," 603,738 "
4,2020,PHX,Phoenix Sky Harbor International,Phoenix,AZ,260.63,307.15," 586,781 "
4,2020,LGA,LaGuardia,New York-La Guardia,NY,223.85,263.80," 548,754 "
4,2020,JFK,John F. Kennedy International,New York-JFK,NY,271.59,320.07," 542,893 "
4,2020,LAS,Harry Reid International,Las Vegas,NV,194.34,229.02," 505,713 "
4,2020,MSP,Minneapolis-St Paul International,Minneapolis,MN,265.08,312.39," 465,865 "
4,2020,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,267.59,315.35," 441,705 "
4,2020,PHL,Philadelphia International,Philadelphia,PA,232.13,273.56," 438,509 "
4,2020,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,182.59,215.17," 427,330 "
4,2020,SAN,San Diego International,San Diego,CA,280.69,330.79," 419,354 "
4,2020,DTW,Detroit Metro Wayne County,Detroit,MI,281.75,332.04," 412,494 "
4,2020,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,271.03,319.41," 380,547 "
4,2020,TPA,Tampa International,Tampa,FL,232.18,273.62," 375,092 "
4,2020,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,241.12,284.16," 355,097 "
4,2020,AUS,Austin - Bergstrom International,Austin,TX,267.34,315.06," 346,713 "
4,2020,MIA,Miami International,Miami,FL,225.52,265.78," 345,604 "
4,2020,PDX,Portland International,Portland,OR,286.32,337.43," 316,001 "
4,2020,BNA,Nashville International,Nashville,TN,243.22,286.63," 309,561 "
4,2020,SLC,Salt Lake City International,Salt Lake City,UT,314.20,370.28," 306,731 "
4,2020,CLT,Charlotte Douglas International,Charlotte,NC,283.30,333.87," 299,028 "
4,2020,RDU,Raleigh-Durham International,Raleigh/Durham,NC,263.98,311.10," 280,802 "
4,2020,SMF,Sacramento International,Sacramento,CA,278.68,328.42," 259,223 "
4,2020,HNL,Daniel K Inouye International,Honolulu,HI,320.29,377.46," 256,498 "
4,2020,MDW,Chicago Midway International,Chicago-Midway,IL,207.49,244.52," 256,060 "
4,2020,STL,St Louis Lambert International,St. Louis,MO,262.66,309.55," 228,095 "
4,2020,SJC,Norman Y. Mineta San Jose International,San Jose,CA,250.99,295.79," 220,072 "
4,2020,IAD,Washington Dulles International,Washington-Dulles,DC,305.47,360.00," 216,137 "
4,2020,MCI,Kansas City International,Kansas City,MO,278.59,328.32," 213,053 "
4,2020,SNA,John Wayne Airport-Orange County,Santa Ana,CA,292.09,344.23," 204,936 "
4,2020,DAL,Dallas Love Field,Dallas-Love Field,TX,229.94,270.99," 202,583 "
4,2020,CLE,Cleveland-Hopkins International,Cleveland,OH,219.99,259.26," 201,673 "
