Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
2,2022,LAX,Los Angeles International,Los Angeles,CA,447.52,469.34," 941,283 "
2,2022,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,386.59,405.44," 768,604 "
2,2022,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,411.54,431.60," 744,001 "
2,2022,DEN,Denver International,Denver,CO,361.14,378.75," 743,828 "
2,2022,EWR,Newark Liberty International,Newark,NJ,424.69,445.39," 696,941 "
2,2022,BOS,Logan International,Boston,MA,404.80,424.53," 689,719 "
2,2022,SEA,Seattle/Tacoma International,Seattle,WA,437.21,458.53," 650,806 "
2,2022,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,434.42,455.60," 626,404 "
2,2022,MCO,Orlando International,Orlando,FL,292.35,306.61," 619,182 "
2,2022,SFO,San Francisco International,San Francisco,CA,498.55,522.85," 603,738 "
2,2022,PHX,Phoenix Sky Harbor International,Phoenix,AZ,407.12,426.96," 586,781 "
2,2022,LGA,LaGuardia,New York-La Guardia,NY,322.56,338.28," 548,754 "
2,2022,JFK,John F. Kennedy International,New York-JFK,NY,435.70,456.95," 542,893 "
2,2022,LAS,Harry Reid International,Las Vegas,NV,289.61,303.73," 505,713 "
2,2022,MSP,Minneapolis-St Paul International,Minneapolis,MN,409.83,429.81," 465,865 "
2,2022,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,428.87,449.78," 441,705 "
2,2022,PHL,Philadelphia International,Philadelphia,PA,414.31,434.51," 438,509 "
2,2022,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,279.63,293.26," 427,330 "
2,2022,SAN,San Diego International,San Diego,CA,408.53,428.45," 419,354 "
2,2022,DTW,Detroit Metro Wayne County,Detroit,MI,429.64,450.58," 412,494 "
2,2022,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,395.00,414.26," 380,547 "
2,2022,TPA,Tampa International,Tampa,FL,347.86,364.81," 375,092 "
2,2022,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,376.27,394.62," 355,097 "
2,2022,AUS,Austin - Bergstrom International,Austin,TX,376.73,395.10," 346,713 "
2,2022,MIA,Miami International,Miami,FL,334.37,350.67," 345,604 "
2,2022,PDX,Portland International,Portland,OR,442.96,464.56," 316,001 "
2,2022,BNA,Nashville International,Nashville,TN,374.43,392.69," 309,561 "
2,2022,SLC,Salt Lake City International,Salt Lake City,UT,440.76,462.25," 306,731 "
2,2022,CLT,Charlotte Douglas International,Charlotte,NC,452.24,474.29," 299,028 "
2,2022,RDU,Raleigh-Durham International,Raleigh/Durham,NC,404.10,423.80," 280,802 "
2,2022,SMF,Sacramento International,Sacramento,CA,399.08,418.54," 259,223 "
2,2022,HNL,Daniel K Inouye International,Honolulu,HI,381.58,400.19," 256,498 "
2,2022,MDW,Chicago Midway International,Chicago-Midway,IL,318.70,334.23," 256,060 "
2,2022,STL,St Louis Lambert International,St. Louis,MO,389.19,408.17," 228,095 "
2,2022,SJC,Norman Y. Mineta San Jose International,San Jose,CA,349.94,367.00," 220,072 "
2,2022,IAD,Washington Dulles International,Washington-Dulles,DC,525.70,551.33," 216,137 "
2,2022,MCI,Kansas City International,Kansas City,MO,425.31,446.04," 213,053 "
2,2022,SNA,John Wayne Airport-Orange County,Santa Ana,CA,405.19,424.94," 204,936 "
2,2022,DAL,Dallas Love Field,Dallas-Love Field,TX,346.20,363.08," 202,583 "
2,2022,CLE,Cleveland-Hopkins International,Cleveland,OH,362.14,379.79," 201,673 "
2,2022,OAK,Metro Oakland International,Oakland,CA,303.14,317.91," 200,137 "
2,2022,IND,Indianapolis International,Indianapolis,IN,409.80,429.78," 198,766 "
2,2022,MSY,Louis Armstrong New Orleans International,New Orleans,LA,343.76,360.52," 193,064 "
2,2022,SAT,San Antonio International,San Antonio,TX,420.02,440.49," 192,841 "
2,2022,PIT,Pittsburgh International,Pittsburgh,PA,405.34,425.10," 191,112 "
2,2022,SJU,Luis Munoz Marin International,San Juan,PR,316.30,331.72," 189,783 "
2,2022,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,383.56,402.26," 185,119 "
2,2022,CMH,John Glenn Columbus International,Columbus,OH,403.05,422.70," 169,279 "
2,2022,HOU,William P Hobby,Houston-Hobby,TX,351.14,368.26," 158,759 "
2,2022,BDL,Bradley International,Hartford,CT,398.91,418.36," 149,278 "
2,2022,RSW,Southwest Florida International,Fort Myers,FL,365.14,382.94," 145,234 "
2,2022,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,369.69,387.71," 138,930 "
2,2022,JAX,Jacksonville International,Jacksonville,FL,410.03,430.02," 136,835 "
2,2022,ONT,Ontario International,Ontario,CA,385.52,404.32," 133,763 "
2,2022,MKE,General Mitchell International,Milwaukee,WI,401.85,421.44," 128,618 "
2,2022,BUR,Bob Hope,Burbank,CA,283.98,297.82," 121,569 "
2,2022,RIC,Richmond International,Richmond,VA,425.21,445.94," 104,981 "
2,2022,OMA,Eppley Airfield,Omaha,NE,443.96,465.60," 103,299 "
2,2022,CHS,Charleston AFB/International,Charleston,SC,366.45,384.31," 103,220 "
2,2022,BUF,Buffalo Niagara International,Buffalo,NY,356.55,373.93," 99,498 "
2,2022,MEM,Memphis International,Memphis,TN,401.95,421.54," 96,749 "
2,2022,BOI,Boise Air Terminal,Boise,ID,423.93,444.59," 95,676 "
2,2022,ORF,Norfolk International,Norfolk,VA,427.84,448.70," 93,202 "
2,2022,ABQ,Albuquerque International Sunport,Albuquerque,NM,429.23,450.15," 93,085 "
2,2022,SDF,Louisville Muhammad Ali International,Louisville,KY,413.83,434.01," 88,827 "
2,2022,OGG,Kahului Airport,Kahului,HI,288.51,302.58," 87,156 "
2,2022,ANC,Ted Stevens Anchorage International,Anchorage,AK,469.13,492.00," 86,346 "
2,2022,OKC,Will Rogers World,Oklahoma City,OK,454.67,476.83," 85,569 "
2,2022,GRR,Gerald R. Ford International,Grand Rapids,MI,424.46,445.15," 84,779 "
2,2022,ELP,El Paso International,El Paso,TX,408.61,428.53," 84,067 "
2,2022,GEG,Spokane International,Spokane,WA,437.75,459.09," 81,039 "
2,2022,PVD,Rhode Island Tf Green International,Providence,RI,376.04,394.37," 78,143 "
2,2022,RNO,Reno/Tahoe International,Reno,NV,405.76,425.54," 77,297 "
2,2022,TUS,Tucson International,Tucson,AZ,469.72,492.62," 72,129 "
2,2022,DSM,Des Moines International,Des Moines,IA,384.46,403.20," 68,593 "
2,2022,LGB,Long Beach Airport,Long Beach,CA,288.02,302.06," 66,667 "
2,2022,SYR,Syracuse Hancock International,Syracuse,NY,403.41,423.08," 64,393 "
2,2022,TUL,Tulsa International,Tulsa,OK,433.22,454.34," 63,276 "
2,2022,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,338.80,355.32," 63,095 "
2,2022,SAV,Savannah/Hilton Head International,Savannah,GA,385.84,404.65," 60,848 "
2,2022,ALB,Albany International,Albany,NY,424.20,444.88," 60,750 "
2,2022,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,397.81,417.21," 60,469 "
2,2022,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,502.87,527.39," 59,880 "
2,2022,HPN,Westchester County,White Plains,NY,397.98,417.38," 59,717 "
2,2022,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,289.43,303.54," 56,370 "
2,2022,TYS,McGhee Tyson,Knoxville,TN,456.16,478.39," 52,127 "
2,2022,GSP,Greenville-Spartanburg International,Greer,SC,490.03,513.92," 49,712 "
2,2022,PNS,Pensacola International,Pensacola,FL,461.87,484.39," 48,548 "
2,2022,MYR,Myrtle Beach International,Myrtle Beach,SC,256.87,269.39," 48,441 "
2,2022,LIH,Lihue Airport,Lihue,HI,265.46,278.40," 48,397 "
2,2022,FAT,Fresno Yosemite International,Fresno,CA,473.68,496.77," 46,134 "
2,2022,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,465.64,488.34," 45,445 "
2,2022,COS,City of Colorado Springs Municipal,Colorado Springs,CO,393.11,412.28," 45,269 "
2,2022,PWM,Portland International Jetport,Portland,ME,437.57,458.90," 44,250 "
2,2022,MSN,Dane County Regional-Truax Field,Madison,WI,526.13,551.78," 43,704 "
2,2022,AVL,Asheville Regional,Asheville,NC,331.26,347.40," 41,151 "
2,2022,BZN,Bozeman Yellowstone International,Bozeman,MT,442.41,463.98," 40,515 "
2,2022,XNA,Northwest Arkansas National,Fayetteville,AR,494.15,518.24," 39,233 "
2,2022,PSP,Palm Springs International,Palm Springs,CA,423.87,444.53," 38,263 "
2,2022,PIE,St Pete Clearwater International,St. Petersburg,FL,143.88,150.89," 36,368 "
2,2022,SFB,Orlando Sanford International,Sanford,FL,148.18,155.41," 36,207 "
2,2022,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,442.45,464.02," 35,754 "
