Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
1,2023,LAX,Los Angeles International,Los Angeles,CA,389.46,397.52," 941,283 "
1,2023,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,394.33,402.48," 768,604 "
1,2023,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,406.23,414.63," 744,001 "
1,2023,DEN,Denver International,Denver,CO,336.93,343.91," 743,828 "
1,2023,EWR,Newark Liberty International,Newark,NJ,400.49,408.78," 696,941 "
1,2023,BOS,Logan International,Boston,MA,382.11,390.02," 689,719 "
1,2023,SEA,Seattle/Tacoma International,Seattle,WA,378.83,386.67," 650,806 "
1,2023,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,430.12,439.02," 626,404 "
1,2023,MCO,Orlando International,Orlando,FL,274.08,279.75," 619,182 "
1,2023,SFO,San Francisco International,San Francisco,CA,422.84,431.58," 603,738 "
1,2023,PHX,Phoenix Sky Harbor International,Phoenix,AZ,365.34,372.90," 586,781 "
1,2023,LGA,LaGuardia,New York-La Guardia,NY,325.76,332.50," 548,754 "
1,2023,JFK,John F. Kennedy International,New York-JFK,NY,424.33,433.11," 542,893 "
1,2023,LAS,Harry Reid International,Las Vegas,NV,269.92,275.50," 505,713 "
1,2023,MSP,Minneapolis-St Paul International,Minneapolis,MN,455.65,465.08," 465,865 "
1,2023,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,402.55,410.87," 441,705 "
1,2023,PHL,Philadelphia International,Philadelphia,PA,406.34,414.75," 438,509 "
1,2023,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,288.53,294.50," 427,330 "
1,2023,SAN,San Diego International,San Diego,CA,359.08,366.51," 419,354 "
1,2023,DTW,Detroit Metro Wayne County,Detroit,MI,447.64,456.91," 412,494 "
1,2023,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,391.48,399.58," 380,547 "
1,2023,TPA,Tampa International,Tampa,FL,330.52,337.36," 375,092 "
1,2023,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,352.31,359.60," 355,097 "
1,2023,AUS,Austin - Bergstrom International,Austin,TX,365.06,372.62," 346,713 "
1,2023,MIA,Miami International,Miami,FL,368.31,375.93," 345,604 "
1,2023,PDX,Portland International,Portland,OR,397.43,405.65," 316,001 "
1,2023,BNA,Nashville International,Nashville,TN,342.43,349.51," 309,561 "
1,2023,SLC,Salt Lake City International,Salt Lake City,UT,448.55,457.83," 306,731 "
1,2023,CLT,Charlotte Douglas International,Charlotte,NC,453.89,463.28," 299,028 "
1,2023,RDU,Raleigh-Durham International,Raleigh/Durham,NC,372.00,379.70," 280,802 "
1,2023,SMF,Sacramento International,Sacramento,CA,357.65,365.05," 259,223 "
1,2023,HNL,Daniel K Inouye International,Honolulu,HI,328.43,335.22," 256,498 "
1,2023,MDW,Chicago Midway International,Chicago-Midway,IL,313.72,320.22," 256,060 "
1,2023,STL,St Louis Lambert International,St. Louis,MO,394.21,402.37," 228,095 "
1,2023,SJC,Norman Y. Mineta San Jose International,San Jose,CA,306.68,313.02," 220,072 "
1,2023,IAD,Washington Dulles International,Washington-Dulles,DC,487.49,497.58," 216,137 "
1,2023,MCI,Kansas City International,Kansas City,MO,398.99,407.25," 213,053 "
1,2023,SNA,John Wayne Airport-Orange County,Santa Ana,CA,376.81,384.60," 204,936 "
1,2023,DAL,Dallas Love Field,Dallas-Love Field,TX,339.96,347.00," 202,583 "
1,2023,CLE,Cleveland-Hopkins International,Cleveland,OH,348.82,356.04," 201,673 "
1,2023,OAK,Metro Oakland International,Oakland,CA,275.86,281.57," 200,137 "
1,2023,IND,Indianapolis International,Indianapolis,IN,389.39,397.45," 198,766 "
1,2023,MSY,Louis Armstrong New Orleans International,New Orleans,LA,331.16,338.02," 193,064 "
1,2023,SAT,San Antonio International,San Antonio,TX,382.30,390.21," 192,841 "
1,2023,PIT,Pittsburgh International,Pittsburgh,PA,375.09,382.86," 191,112 "
1,2023,SJU,Luis Munoz Marin International,San Juan,PR,309.74,316.15," 189,783 "
1,2023,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,371.81,379.51," 185,119 "
1,2023,CMH,John Glenn Columbus International,Columbus,OH,405.51,413.90," 169,279 "
1,2023,HOU,William P Hobby,Houston-Hobby,TX,333.85,340.75," 158,759 "
1,2023,BDL,Bradley International,Hartford,CT,360.06,367.51," 149,278 "
1,2023,RSW,Southwest Florida International,Fort Myers,FL,368.87,376.50," 145,234 "
1,2023,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,385.92,393.91," 138,930 "
1,2023,JAX,Jacksonville International,Jacksonville,FL,396.94,405.15," 136,835 "
1,2023,ONT,Ontario International,Ontario,CA,356.94,364.32," 133,763 "
1,2023,MKE,General Mitchell International,Milwaukee,WI,410.51,419.01," 128,618 "
1,2023,BUR,Bob Hope,Burbank,CA,285.53,291.44," 121,569 "
1,2023,RIC,Richmond International,Richmond,VA,394.83,403.00," 104,981 "
1,2023,OMA,Eppley Airfield,Omaha,NE,419.45,428.13," 103,299 "
1,2023,CHS,Charleston AFB/International,Charleston,SC,366.33,373.91," 103,220 "
1,2023,BUF,Buffalo Niagara International,Buffalo,NY,349.78,357.02," 99,498 "
1,2023,MEM,Memphis International,Memphis,TN,401.90,410.22," 96,749 "
1,2023,BOI,Boise Air Terminal,Boise,ID,384.24,392.19," 95,676 "
