Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
4,2022,LAX,Los Angeles International,Los Angeles,CA,438.87,452.63," 941,283 "
4,2022,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,390.57,402.82," 768,604 "
4,2022,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,408.76,421.58," 744,001 "
4,2022,DEN,Denver International,Denver,CO,346.03,356.88," 743,828 "
4,2022,EWR,Newark Liberty International,Newark,NJ,424.85,438.17," 696,941 "
4,2022,BOS,Logan International,Boston,MA,403.41,416.06," 689,719 "
4,2022,SEA,Seattle/Tacoma International,Seattle,WA,419.85,433.01," 650,806 "
4,2022,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,440.45,454.26," 626,404 "
4,2022,MCO,Orlando International,Orlando,FL,272.39,280.94," 619,182 "
4,2022,SFO,San Francisco International,San Francisco,CA,476.86,491.81," 603,738 "
4,2022,PHX,Phoenix Sky Harbor International,Phoenix,AZ,385.09,397.17," 586,781 "
4,2022,LGA,LaGuardia,New York-La Guardia,NY,353.71,364.80," 548,754 "
4,2022,JFK,John F. Kennedy International,New York-JFK,NY,447.81,461.86," 542,893 "
4,2022,LAS,Harry Reid International,Las Vegas,NV,265.27,273.59," 505,713 "
4,2022,MSP,Minneapolis-St Paul International,Minneapolis,MN,436.00,449.67," 465,865 "
4,2022,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,403.94,416.60," 441,705 "
4,2022,PHL,Philadelphia International,Philadelphia,PA,420.61,433.80," 438,509 "
4,2022,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,278.57,287.30," 427,330 "
4,2022,SAN,San Diego International,San Diego,CA,388.15,400.33," 419,354 "
4,2022,DTW,Detroit Metro Wayne County,Detroit,MI,457.70,472.05," 412,494 "
4,2022,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,403.83,416.49," 380,547 "
4,2022,TPA,Tampa International,Tampa,FL,342.28,353.02," 375,092 "
4,2022,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,356.32,367.49," 355,097 "
4,2022,AUS,Austin - Bergstrom International,Austin,TX,378.96,390.84," 346,713 "
4,2022,MIA,Miami International,Miami,FL,346.73,357.60," 345,604 "
4,2022,PDX,Portland International,Portland,OR,439.32,453.10," 316,001 "
4,2022,BNA,Nashville International,Nashville,TN,349.47,360.43," 309,561 "
4,2022,SLC,Salt Lake City International,Salt Lake City,UT,439.50,453.28," 306,731 "
4,2022,CLT,Charlotte Douglas International,Charlotte,NC,468.61,483.31," 299,028 "
4,2022,RDU,Raleigh-Durham International,Raleigh/Durham,NC,400.05,412.60," 280,802 "
4,2022,SMF,Sacramento International,Sacramento,CA,375.71,387.49," 259,223 "
4,2022,HNL,Daniel K Inouye International,Honolulu,HI,343.42,354.19," 256,498 "
4,2022,MDW,Chicago Midway International,Chicago-Midway,IL,301.63,311.09," 256,060 "
4,2022,STL,St Louis Lambert International,St. Louis,MO,386.33,398.45," 228,095 "
4,2022,SJC,Norman Y. Mineta San Jose International,San Jose,CA,335.14,345.65," 220,072 "
4,2022,IAD,Washington Dulles International,Washington-Dulles,DC,503.53,519.32," 216,137 "
4,2022,MCI,Kansas City International,Kansas City,MO,390.15,402.39," 213,053 "
4,2022,SNA,John Wayne Airport-Orange County,Santa Ana,CA,395.43,407.83," 204,936 "
4,2022,DAL,Dallas Love Field,Dallas-Love Field,TX,340.90,351.59," 202,583 "
4,2022,CLE,Cleveland-Hopkins International,Cleveland,OH,357.29,368.50," 201,673 "
4,2022,OAK,Metro Oakland International,Oakland,CA,295.32,304.58," 200,137 "
4,2022,IND,Indianapolis International,Indianapolis,IN,421.23,434.44," 198,766 "
4,2022,MSY,Louis Armstrong New Orleans International,New Orleans,LA,334.22,344.70," 193,064 "
4,2022,SAT,San Antonio International,San Antonio,TX,398.35,410.84," 192,841 "
4,2022,PIT,Pittsburgh International,Pittsburgh,PA,395.51,407.91," 191,112 "
