Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
4,2018,LAX,Los Angeles International,Los Angeles,CA,370.10,450.54," 941,283 "
4,2018,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,357.29,434.95," 768,604 "
4,2018,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,366.94,446.70," 744,001 "
4,2018,DEN,Denver International,Denver,CO,310.83,378.39," 743,828 "
4,2018,EWR,Newark Liberty International,Newark,NJ,419.18,510.29," 696,941 "
4,2018,BOS,Logan International,Boston,MA,343.63,418.31," 689,719 "
4,2018,SEA,Seattle/Tacoma International,Seattle,WA,350.95,427.23," 650,806 "
4,2018,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,404.54,492.47," 626,404 "
4,2018,MCO,Orlando International,Orlando,FL,255.99,311.62," 619,182 "
4,2018,SFO,San Francisco International,San Francisco,CA,406.82,495.24," 603,738 "
4,2018,PHX,Phoenix Sky Harbor International,Phoenix,AZ,349.62,425.61," 586,781 "
4,2018,LGA,LaGuardia,New York-La Guardia,NY,350.85,427.11," 548,754 "
4,2018,JFK,John F. Kennedy International,New York-JFK,NY,409.99,499.10," 542,893 "
4,2018,LAS,Harry Reid International,Las Vegas,NV,247.89,301.77," 505,713 "
4,2018,MSP,Minneapolis-St Paul International,Minneapolis,MN,376.10,457.84," 465,865 "
4,2018,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,417.04,507.68," 441,705 "
4,2018,PHL,Philadelphia International,Philadelphia,PA,393.82,479.42," 438,509 "
4,2018,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,256.94,312.78," 427,330 "
4,2018,SAN,San Diego International,San Diego,CA,338.01,411.47," 419,354 "
4,2018,DTW,Detroit Metro Wayne County,Detroit,MI,387.18,471.34," 412,494 "
4,2018,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,369.24,449.49," 380,547 "
4,2018,TPA,Tampa International,Tampa,FL,313.12,381.17," 375,092 "
4,2018,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,330.60,402.46," 355,097 "
4,2018,AUS,Austin - Bergstrom International,Austin,TX,352.74,429.41," 346,713 "
4,2018,MIA,Miami International,Miami,FL,329.92,401.62," 345,604 "
4,2018,PDX,Portland International,Portland,OR,340.01,413.91," 316,001 "
4,2018,BNA,Nashville International,Nashville,TN,340.95,415.05," 309,561 "
4,2018,SLC,Salt Lake City International,Salt Lake City,UT,368.41,448.48," 306,731 "
4,2018,CLT,Charlotte Douglas International,Charlotte,NC,429.66,523.05," 299,028 "
