Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
2,2018,LAX,Los Angeles International,Los Angeles,CA,353.21,431.14," 941,283 "
2,2018,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,328.61,401.11," 768,604 "
2,2018,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,357.62,436.53," 744,001 "
2,2018,DEN,Denver International,Denver,CO,303.54,370.51," 743,828 "
2,2018,EWR,Newark Liberty International,Newark,NJ,394.47,481.50," 696,941 "
2,2018,BOS,Logan International,Boston,MA,326.81,398.92," 689,719 "
2,2018,SEA,Seattle/Tacoma International,Seattle,WA,339.07,413.88," 650,806 "
2,2018,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,376.11,459.09," 626,404 "
2,2018,MCO,Orlando International,Orlando,FL,250.78,306.12," 619,182 "
2,2018,SFO,San Francisco International,San Francisco,CA,377.56,460.86," 603,738 "
2,2018,PHX,Phoenix Sky Harbor International,Phoenix,AZ,340.19,415.24," 586,781 "
2,2018,LGA,LaGuardia,New York-La Guardia,NY,324.81,396.48," 548,754 "
2,2018,JFK,John F. Kennedy International,New York-JFK,NY,379.43,463.14," 542,893 "
2,2018,LAS,Harry Reid International,Las Vegas,NV,241.16,294.37," 505,713 "
2,2018,MSP,Minneapolis-St Paul International,Minneapolis,MN,361.83,441.66," 465,865 "
2,2018,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,413.94,505.27," 441,705 "
2,2018,PHL,Philadelphia International,Philadelphia,PA,373.39,455.78," 438,509 "
2,2018,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,240.22,293.22," 427,330 "
2,2018,SAN,San Diego International,San Diego,CA,328.24,400.66," 419,354 "
2,2018,DTW,Detroit Metro Wayne County,Detroit,MI,366.12,446.90," 412,494 "
2,2018,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,357.86,436.82," 380,547 "
2,2018,TPA,Tampa International,Tampa,FL,311.79,380.59," 375,092 "
2,2018,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,316.45,386.27," 355,097 "
2,2018,AUS,Austin - Bergstrom International,Austin,TX,340.39,415.49," 346,713 "
2,2018,MIA,Miami International,Miami,FL,317.71,387.81," 345,604 "
2,2018,PDX,Portland International,Portland,OR,329.57,402.28," 316,001 "
2,2018,BNA,Nashville International,Nashville,TN,365.76,446.46," 309,561 "
2,2018,SLC,Salt Lake City International,Salt Lake City,UT,359.62,438.96," 306,731 "
2,2018,CLT,Charlotte Douglas International,Charlotte,NC,426.62,520.74," 299,028 "
2,2018,RDU,Raleigh-Durham International,Raleigh/Durham,NC,347.56,424.24," 280,802 "
2,2018,SMF,Sacramento International,Sacramento,CA,352.24,429.96," 259,223 "
2,2018,HNL,Daniel K Inouye International,Honolulu,HI,385.18,470.17," 256,498 "
2,2018,MDW,Chicago Midway International,Chicago-Midway,IL,301.60,368.14," 256,060 "
2,2018,STL,St Louis Lambert International,St. Louis,MO,368.40,449.68," 228,095 "
2,2018,SJC,Norman Y. Mineta San Jose International,San Jose,CA,304.74,371.97," 220,072 "
2,2018,IAD,Washington Dulles International,Washington-Dulles,DC,425.02,518.79," 216,137 "
2,2018,MCI,Kansas City International,Kansas City,MO,353.48,431.46," 213,053 "
2,2018,SNA,John Wayne Airport-Orange County,Santa Ana,CA,366.46,447.32," 204,936 "
2,2018,DAL,Dallas Love Field,Dallas-Love Field,TX,304.67,371.89," 202,583 "
2,2018,CLE,Cleveland-Hopkins International,Cleveland,OH,317.93,388.08," 201,673 "
2,2018,OAK,Metro Oakland International,Oakland,CA,288.23,351.82," 200,137 "
2,2018,IND,Indianapolis International,Indianapolis,IN,342.21,417.71," 198,766 "
2,2018,MSY,Louis Armstrong New Orleans International,New Orleans,LA,307.99,375.95," 193,064 "
2,2018,SAT,San Antonio International,San Antonio,TX,369.36,450.86," 192,841 "
2,2018,PIT,Pittsburgh International,Pittsburgh,PA,347.79,424.53," 191,112 "
2,2018,SJU,Luis Munoz Marin International,San Juan,PR,257.63,314.47," 189,783 "
2,2018,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,313.75,382.97," 185,119 "
2,2018,CMH,John Glenn Columbus International,Columbus,OH,358.13,437.14," 169,279 "
2,2018,HOU,William P Hobby,Houston-Hobby,TX,346.95,423.50," 158,759 "
2,2018,BDL,Bradley International,Hartford,CT,385.22,470.21," 149,278 "
2,2018,RSW,Southwest Florida International,Fort Myers,FL,322.32,393.43," 145,234 "
2,2018,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,326.70,398.78," 138,930 "
2,2018,JAX,Jacksonville International,Jacksonville,FL,369.48,451.00," 136,835 "
2,2018,ONT,Ontario International,Ontario,CA,340.81,416.01," 133,763 "
2,2018,MKE,General Mitchell International,Milwaukee,WI,334.10,407.81," 128,618 "
2,2018,BUR,Bob Hope,Burbank,CA,265.42,323.98," 121,569 "
2,2018,RIC,Richmond International,Richmond,VA,412.23,503.18," 104,981 "
