Querter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
2,2020,CHA,Lovell Field,Chattanooga,TN,247.56,295.73," 20,591 "
2,2020,MFR,Rogue Valley International - Medford,Medford,OR,307.81,367.70," 20,534 "
2,2020,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,291.52,348.24," 19,336 "
2,2020,HRL,Valley International,Harlingen/San Benito,TX,224.37,268.03," 19,162 "
2,2020,SBN,South Bend International,South Bend,IN,218.43,260.93," 18,972 "
2,2020,ACY,Atlantic City International,Atlantic City,NJ,100.35,119.87," 18,684 "
2,2020,FWA,Fort Wayne International,Fort Wayne,IN,215.39,257.30," 18,368 "
2,2020,MSO,Missoula Montana,Missoula,MT,324.47,387.60," 17,538 "
2,2020,TTN,Trenton Mercer,Trenton,NJ,112.30,134.15," 17,074 "
2,2020,BIL,Billings Logan International,Billings,MT,346.38,413.77," 16,853 "
2,2020,CAK,Akron-Canton Regional,Akron,OH,277.39,331.36," 16,819 "
2,2020,PVU,Provo Municipal,Provo,UT,105.93,126.54," 16,698 "
2,2020,STT,Cyril E King,Charlotte Amalie,VI,333.96,398.93," 16,470 "
2,2020,PIA,General Downing - Peoria International,Peoria,IL,190.41,227.46," 16,235 "
2,2020,TLH,Tallahassee International,Tallahassee,FL,368.94,440.73," 15,873 "
2,2020,FCA,Glacier Park International,Kalispell,MT,344.25,411.22," 15,752 "
2,2020,AMA,Rick Husband Amarillo International,Amarillo,TX,270.26,322.84," 15,675 "
2,2020,FNT,Bishop International,Flint,MI,188.34,224.99," 15,586 "
2,2020,BLI,Bellingham International,Bellingham,WA,177.44,211.97," 15,449 "
2,2020,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,336.28,401.70," 15,211 "
2,2020,PAE,Snohomish County,Everett,WA,251.64,300.60," 14,747 "
2,2020,GRB,Green Bay Austin Straubel International,Green Bay,WI,296.25,353.89," 13,883 "
2,2020,ROA,Roanoke Blacksburg Regional,Roanoke,VA,299.34,357.58," 13,876 "
2,2020,CRP,Corpus Christi International,Corpus Christi,TX,305.63,365.09," 13,659 "
2,2020,BGR,Bangor International,Bangor,ME,287.32,343.23," 13,620 "
2,2020,TVC,Cherry Capital,Traverse City,MI,300.83,359.36," 13,467 "
2,2020,CHO,Charlottesville Albemarle,Charlottesville,VA,268.31,320.52," 12,997 "
2,2020,SHV,Shreveport Regional,Shreveport,LA,339.27,405.27," 12,932 "
2,2020,JAC,Jackson Hole,Jackson,WY,433.23,517.52," 12,872 "
2,2020,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,297.16,354.97," 12,824 "
2,2020,AGS,Augusta Regional at Bush Field,Augusta,GA,261.82,312.76," 12,759 "
2,2020,SBP,San Luis County Regional,San Luis Obispo,CA,350.72,418.96," 12,654 "
2,2020,RAP,Rapid City Regional,Rapid City,SD,305.82,365.32," 12,572 "
2,2020,DAB,Daytona Beach International,Daytona Beach,FL,249.68,298.26," 12,522 "
2,2020,MLI,Quad Cities International,Moline,IL,240.40,287.17," 12,282 "
2,2020,BIS,Bismarck Municipal,Bismarck/Mandan,ND,289.30,345.59," 11,676 "
2,2020,IDA,Idaho Falls Regional,Idaho Falls,ID,321.74,384.33," 11,225 "
2,2020,GNV,Gainesville Regional,Gainesville,FL,280.06,334.55," 11,203 "
2,2020,EYW,Key West International,Key West,FL,352.89,421.55," 10,903 "
2,2020,JNU,Juneau International,Juneau,AK,357.07,426.54," 10,616 "
2,2020,MOB,Mobile Regional,Mobile,AL,382.61,457.05," 10,320 "
2,2020,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,319.66,381.85," 10,160 "
2,2020,BLV,Scott AFB MidAmerica St Louis,Belleville,IL,98.38,117.52," 9,682 "
2,2020,GJT,Grand Junction Regional,Grand Junction,CO,314.76,376.01," 9,506 "
2,2020,LCK,Rickenbacker International,Columbus,OH,108.39,129.48," 9,227 "
2,2020,MLB,Melbourne Orlando International,Melbourne,FL,261.48,312.35," 9,191 "
2,2020,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,318.64,380.64," 9,179 "
2,2020,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,310.46,370.87," 8,915 "
2,2020,MRY,Monterey Regional,Monterey,CA,343.19,409.96," 8,795 "
2,2020,BRO,Brownsville South Padre Island International,Brownsville,TX,304.27,363.47," 8,462 "
2,2020,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,290.48,347.00," 8,273 "
2,2020,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,323.55,386.50," 8,136 "
2,2020,BFL,Meadows Field,Bakersfield,CA,355.30,424.43," 8,075 "
2,2020,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,304.00,363.15," 7,862 "
2,2020,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,183.27,218.93," 7,800 "
2,2020,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,477.78,570.74," 7,688 "
2,2020,GTF,Great Falls International,Great Falls,MT,293.21,350.26," 7,544 "
2,2020,DRO,Durango La Plata County,Durango,CO,412.08,492.26," 7,222 "
2,2020,MTJ,Montrose Regional,Montrose/Delta,CO,428.81,512.24," 7,208 "
2,2020,MGM,Montgomery Regional,Montgomery,AL,337.77,403.49," 7,208 "
2,2020,STX,Henry E. Rohlsen,Christiansted,VI,451.61,539.48," 6,987 "
2,2020,EVV,Evansville Regional,Evansville,IN,264.70,316.20," 6,873 "
2,2020,RFD,Chicago/Rockford International,Rockford,IL,112.10,133.91," 6,849 "
2,2020,MOT,Minot International,Minot,ND,340.30,406.50," 6,462 "
2,2020,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,290.63,347.18," 6,166 "
2,2020,LRD,Laredo International,Laredo,TX,315.52,376.91," 5,949 "
2,2020,ORH,Worcester Regional,Worcester,MA,191.20,228.41," 5,922 "
2,2020,SCE,University Park,State College,PA,260.57,311.27," 5,669 "
2,2020,DLH,Duluth International,Duluth,MN,249.78,298.37," 5,655 "
2,2020,SGU,St George Regional,St. George,UT,254.80,304.38," 5,139 "
2,2020,USA,Concord Padgett Regional,Concord,NC,99.30,118.62," 4,973 "
2,2020,HDN,Yampa Valley,Hayden,CO,395.16,472.04," 4,971 "
2,2020,ACK,Nantucket Memorial,Nantucket,MA,330.64,394.97," 4,837 "
2,2020,LNK,Lincoln Airport,Lincoln,NE,346.47,413.88," 4,708 "
2,2020,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,141.89,169.49," 4,681 "
2,2020,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,453.32,541.52," 4,676 "
2,2020,EGE,Eagle County Regional,Eagle,CO,430.11,513.80," 4,662 "
2,2020,GRK,Robert Gray AAF,Killeen,TX,268.77,321.06," 4,625 "
2,2020,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,116.15,138.74," 4,584 "
2,2020,LAN,Capital Region International,Lansing,MI,259.72,310.25," 4,526 "
2,2020,SAF,Santa Fe Municipal,Santa Fe,NM,308.13,368.08," 4,444 "
2,2020,LBE,Arnold Palmer Regional,Latrobe,PA,97.28,116.21," 4,388 "
2,2020,GFK,Grand Forks International,Grand Forks,ND,401.92,480.11," 4,343 "
2,2020,ELM,Elmira/Corning Regional,Elmira/Corning,NY,226.26,270.29," 4,305 "
2,2020,COU,Columbia Regional,Columbia,MO,299.84,358.18," 4,220 "
2,2020,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,305.44,364.87," 4,213 "
2,2020,KTN,Ketchikan International,Ketchikan,AK,417.80,499.08," 4,200 "
2,2020,MLU,Monroe Regional,Monroe,LA,303.57,362.64," 4,112 "
2,2020,MBS,MBS International,Saginaw/Bay City/Midland,MI,359.50,429.45," 3,982 "
2,2020,PBG,Plattsburgh International,Plattsburgh,NY,187.38,223.84," 3,971 "
2,2020,BET,Bethel Airport,Bethel,AK,351.91,420.38," 3,937 "
2,2020,XWA,Williston Basin International,Williston,ND,487.89,582.81," 3,880 "
2,2020,AEX,Alexandria International,Alexandria,LA,367.03,438.43," 3,871 "
2,2020,RDD,Redding Regional,Redding,CA,424.36,506.93," 3,738 "
2,2020,LCH,Lake Charles Regional,Lake Charles,LA,341.14,407.52," 3,649 "
2,2020,HLN,Helena Regional,Helena,MT,392.65,469.04," 3,557 "
2,2020,TOL,Eugene F Kranz Toledo Express,Toledo,OH,159.89,190.99," 3,506 "
2,2020,SCK,Stockton Metro,Stockton,CA,91.46,109.25," 3,503 "
2,2020,GUM,Guam International,Guam,TT,1380.54,1649.14," 3,494 "
2,2020,CPR,Casper/Natrona County International,Casper,WY,434.48,519.01," 3,458 "
2,2020,RST,Rochester International,Rochester,MN,246.21,294.11," 3,440 "
2,2020,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,402.38,480.66," 3,439 "
2,2020,ABI,Abilene Regional,Abilene,TX,322.62,385.39," 3,349 "
2,2020,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,316.83,378.47," 3,317 "
2,2020,CWA,Central Wisconsin,Mosinee,WI,298.24,356.27," 3,275 "
2,2020,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,287.29,343.18," 3,253 "
2,2020,YUM,Yuma MCAS/Yuma International,Yuma,AZ,340.45,406.69," 3,086 "
2,2020,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,409.63,489.33," 3,037 "
2,2020,GRI,Central Nebraska Regional,Grand Island,NE,179.60,214.54," 2,985 "
2,2020,SIT,Sitka Rocky Gutierrez,Sitka,AK,363.96,434.77," 2,857 "
2,2020,IAG,Niagara Falls International,Niagara Falls,NY,101.03,120.69," 2,854 "
2,2020,HHH,Hilton Head Airport,Hilton Head,SC,297.67,355.59," 2,848 "
2,2020,CMI,University of Illinois/Willard,Champaign/Urbana,IL,423.70,506.14," 2,804 "
2,2020,PSM,Portsmouth International at Pease,Portsmouth,NH,106.32,127.00," 2,709 "
2,2020,ADQ,Kodiak Airport,Kodiak,AK,459.91,549.39," 2,555 "
2,2020,SPI,Abraham Lincoln Capital,Springfield,IL,223.12,266.53," 2,515 "
2,2020,FSM,Fort Smith Regional,Fort Smith,AR,362.84,433.43," 2,509 "
2,2020,PUW,Pullman Moscow Regional,Pullman,WA,305.88,365.40," 2,505 "
2,2020,ERI,Erie International/Tom Ridge Field,Erie,PA,263.30,314.53," 2,485 "
2,2020,CLL,Easterwood Field,College Station/Bryan,TX,292.20,349.05," 2,450 "
2,2020,TYR,Tyler Pounds Regional,Tyler,TX,305.12,364.49," 2,450 "
2,2020,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,297.32,355.17," 2,421 "
2,2020,FLG,Flagstaff Pulliam,Flagstaff,AZ,327.04,390.66," 2,403 "
2,2020,ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,308.76,368.83," 2,325 "
2,2020,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,275.65,329.28," 2,271 "
2,2020,CSG,Columbus Airport,Columbus,GA,361.02,431.26," 2,222 "
2,2020,ACT,Waco Regional,Waco,TX,281.36,336.10," 2,208 "
2,2020,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,342.34,408.94," 2,186 "
2,2020,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,166.71,199.14," 2,158 "
2,2020,HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,89.93,107.42," 1,991 "
2,2020,TXK,Texarkana Regional-Webb Field,Texarkana,AR,297.42,355.28," 1,987 "
2,2020,ROW,Roswell Air Center,Roswell,NM,351.03,419.33," 1,972 "
2,2020,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,282.45,337.41," 1,957 "
2,2020,BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,345.21,412.38," 1,919 "
2,2020,VLD,Valdosta Regional,Valdosta,GA,311.95,372.64," 1,884 "
2,2020,LSE,La Crosse Regional,La Crosse,WI,231.41,276.44," 1,856 "
2,2020,OME,Nome Airport,Nome,AK,488.43,583.46," 1,724 "
2,2020,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,269.70,322.17," 1,609 "
2,2020,MQT,Marquette Sawyer Regional,Marquette,MI,321.72,384.31," 1,606 "
2,2020,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,315.16,376.48," 1,579 "
2,2020,GTR,Golden Triangle Regional,Columbus,MS,373.68,446.38," 1,529 "
2,2020,SWO,Stillwater Regional,Stillwater,OK,272.73,325.79," 1,495 "
2,2020,GGG,East Texas Regional,Longview,TX,292.52,349.43," 1,493 "
2,2020,OTZ,Ralph Wien Memorial,Kotzebue,AK,466.18,556.88," 1,483 "
2,2020,ABY,Southwest Georgia Regional,Albany,GA,278.53,332.72," 1,402 "
2,2020,BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,441.26,527.11," 1,352 "
2,2020,PGV,Pitt Greenville,Greenville,NC,282.08,336.96," 1,298 "
2,2020,LWS,Lewiston Nez Perce County,Lewiston,ID,321.20,383.70," 1,285 "
2,2020,STC,St. Cloud Regional,St. Cloud,MN,98.20,117.31," 1,277 "
2,2020,DHN,Dothan Regional,Dothan,AL,415.34,496.15," 1,261 "
2,2020,COD,Yellowstone Regional,Cody,WY,404.89,483.67," 1,237 "
2,2020,GUC,Gunnison-Crested Butte Regional,Gunnison,CO,332.20,396.83," 1,175 "
2,2020,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,330.15,394.38," 1,121 "
2,2020,GCC,Northeast Wyoming Regional,Gillette,WY,378.98,452.71," 1,109 "
2,2020,BJI,Bemidji Regional,Bemidji,MN,347.65,415.29," 1,105 "
2,2020,SCC,Deadhorse Airport,Deadhorse,AK,443.78,530.12," 1,095 "
2,2020,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,470.75,562.33," 1,090 "
2,2020,ART,Watertown International,Watertown,NY,273.37,326.56," 1,079 "
2,2020,GCK,Garden City Regional,Garden City,KS,277.10,331.02," 1,041 "
2,2020,DLG,Dillingham Airport,Dillingham,AK,433.19,517.47," 1,031 "
2,2020,SHR,Sheridan County,Sheridan,WY,424.18,506.71," 1,016 "
