Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
2,2019,LAX,Los Angeles International,Los Angeles,CA,363.79,436.15," 941,283 "
2,2019,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,346.87,415.87," 768,604 "
2,2019,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,374.83,449.39," 744,001 "
2,2019,DEN,Denver International,Denver,CO,300.04,359.72," 743,828 "
2,2019,EWR,Newark Liberty International,Newark,NJ,417.35,500.36," 696,941 "
2,2019,BOS,Logan International,Boston,MA,345.78,414.56," 689,719 "
2,2019,SEA,Seattle/Tacoma International,Seattle,WA,340.03,407.66," 650,806 "
2,2019,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,408.04,489.20," 626,404 "
2,2019,MCO,Orlando International,Orlando,FL,258.52,309.94," 619,182 "
2,2019,SFO,San Francisco International,San Francisco,CA,404.31,484.74," 603,738 "
2,2019,PHX,Phoenix Sky Harbor International,Phoenix,AZ,359.21,430.66," 586,781 "
2,2019,LGA,LaGuardia,New York-La Guardia,NY,334.81,401.41," 548,754 "
2,2019,JFK,John F. Kennedy International,New York-JFK,NY,402.09,482.07," 542,893 "
2,2019,LAS,Harry Reid International,Las Vegas,NV,249.39,298.99," 505,713 "
2,2019,MSP,Minneapolis-St Paul International,Minneapolis,MN,363.38,435.66," 465,865 "
2,2019,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,409.70,491.19," 441,705 "
2,2019,PHL,Philadelphia International,Philadelphia,PA,379.00,454.39," 438,509 "
2,2019,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,264.51,317.13," 427,330 "
2,2019,SAN,San Diego International,San Diego,CA,334.32,400.82," 419,354 "
2,2019,DTW,Detroit Metro Wayne County,Detroit,MI,378.23,453.46," 412,494 "
2,2019,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,381.26,457.10," 380,547 "
2,2019,TPA,Tampa International,Tampa,FL,315.35,378.08," 375,092 "
2,2019,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,332.45,398.58," 355,097 "
2,2019,AUS,Austin - Bergstrom International,Austin,TX,345.46,414.18," 346,713 "
2,2019,MIA,Miami International,Miami,FL,347.78,416.96," 345,604 "
2,2019,PDX,Portland International,Portland,OR,341.71,409.68," 316,001 "
2,2019,BNA,Nashville International,Nashville,TN,346.93,415.94," 309,561 "
2,2019,SLC,Salt Lake City International,Salt Lake City,UT,376.35,451.22," 306,731 "
2,2019,CLT,Charlotte Douglas International,Charlotte,NC,424.94,509.47," 299,028 "
2,2019,RDU,Raleigh-Durham International,Raleigh/Durham,NC,340.73,408.51," 280,802 "
2,2019,SMF,Sacramento International,Sacramento,CA,348.37,417.66," 259,223 "
2,2019,HNL,Daniel K Inouye International,Honolulu,HI,353.66,424.00," 256,498 "
2,2019,MDW,Chicago Midway International,Chicago-Midway,IL,314.88,377.51," 256,060 "
2,2019,STL,St Louis Lambert International,St. Louis,MO,375.27,449.92," 228,095 "
2,2019,SJC,Norman Y. Mineta San Jose International,San Jose,CA,300.14,359.84," 220,072 "
2,2019,IAD,Washington Dulles International,Washington-Dulles,DC,462.38,554.35," 216,137 "
2,2019,MCI,Kansas City International,Kansas City,MO,366.60,439.52," 213,053 "
2,2019,SNA,John Wayne Airport-Orange County,Santa Ana,CA,388.42,465.68," 204,936 "
2,2019,DAL,Dallas Love Field,Dallas-Love Field,TX,325.26,389.96," 202,583 "
2,2019,CLE,Cleveland-Hopkins International,Cleveland,OH,316.11,378.99," 201,673 "
2,2019,OAK,Metro Oakland International,Oakland,CA,297.67,356.88," 200,137 "
2,2019,IND,Indianapolis International,Indianapolis,IN,357.57,428.69," 198,766 "
2,2019,MSY,Louis Armstrong New Orleans International,New Orleans,LA,305.66,366.46," 193,064 "
2,2019,SAT,San Antonio International,San Antonio,TX,367.32,440.39," 192,841 "
2,2019,PIT,Pittsburgh International,Pittsburgh,PA,357.38,428.47," 191,112 "
2,2019,SJU,Luis Munoz Marin International,San Juan,PR,295.74,354.57," 189,783 "
2,2019,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,323.75,388.15," 185,119 "
2,2019,CMH,John Glenn Columbus International,Columbus,OH,360.76,432.52," 169,279 "
2,2019,HOU,William P Hobby,Houston-Hobby,TX,346.37,415.27," 158,759 "
2,2019,BDL,Bradley International,Hartford,CT,382.73,458.86," 149,278 "
2,2019,RSW,Southwest Florida International,Fort Myers,FL,313.28,375.59," 145,234 "
