Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
1,2018,LAX,Los Angeles International,Los Angeles,CA,336.93,415.52," 941,283 "
1,2018,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,341.14,420.71," 768,604 "
1,2018,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,361.16,445.40," 744,001 "
1,2018,DEN,Denver International,Denver,CO,299.04,368.79," 743,828 "
1,2018,EWR,Newark Liberty International,Newark,NJ,407.59,502.66," 696,941 "
1,2018,BOS,Logan International,Boston,MA,323.31,398.73," 689,719 "
1,2018,SEA,Seattle/Tacoma International,Seattle,WA,331.84,409.24," 650,806 "
1,2018,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,381.16,470.06," 626,404 "
1,2018,MCO,Orlando International,Orlando,FL,246.68,304.22," 619,182 "
1,2018,SFO,San Francisco International,San Francisco,CA,365.00,450.14," 603,738 "
1,2018,PHX,Phoenix Sky Harbor International,Phoenix,AZ,320.87,395.71," 586,781 "
1,2018,LGA,LaGuardia,New York-La Guardia,NY,320.45,395.20," 548,754 "
1,2018,JFK,John F. Kennedy International,New York-JFK,NY,397.54,490.26," 542,893 "
1,2018,LAS,Harry Reid International,Las Vegas,NV,242.41,298.95," 505,713 "
1,2018,MSP,Minneapolis-St Paul International,Minneapolis,MN,389.79,480.71," 465,865 "
1,2018,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,420.57,518.66," 441,705 "
1,2018,PHL,Philadelphia International,Philadelphia,PA,378.62,466.93," 438,509 "
1,2018,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,245.29,302.50," 427,330 "
1,2018,SAN,San Diego International,San Diego,CA,317.04,390.99," 419,354 "
1,2018,DTW,Detroit Metro Wayne County,Detroit,MI,380.78,469.59," 412,494 "
1,2018,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,350.64,432.42," 380,547 "
1,2018,TPA,Tampa International,Tampa,FL,299.58,369.45," 375,092 "
1,2018,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,310.95,383.47," 355,097 "
1,2018,AUS,Austin - Bergstrom International,Austin,TX,348.72,430.06," 346,713 "
1,2018,MIA,Miami International,Miami,FL,319.18,393.63," 345,604 "
1,2018,PDX,Portland International,Portland,OR,325.98,402.01," 316,001 "
1,2018,BNA,Nashville International,Nashville,TN,351.81,433.87," 309,561 "
1,2018,SLC,Salt Lake City International,Salt Lake City,UT,360.05,444.03," 306,731 "
1,2018,CLT,Charlotte Douglas International,Charlotte,NC,429.03,529.10," 299,028 "
1,2018,RDU,Raleigh-Durham International,Raleigh/Durham,NC,348.32,429.57," 280,802 "
1,2018,SMF,Sacramento International,Sacramento,CA,326.93,403.18," 259,223 "
1,2018,HNL,Daniel K Inouye International,Honolulu,HI,357.64,441.05," 256,498 "
1,2018,MDW,Chicago Midway International,Chicago-Midway,IL,296.23,365.33," 256,060 "
1,2018,STL,St Louis Lambert International,St. Louis,MO,359.83,443.76," 228,095 "
1,2018,SJC,Norman Y. Mineta San Jose International,San Jose,CA,280.72,346.19," 220,072 "
1,2018,IAD,Washington Dulles International,Washington-Dulles,DC,427.80,527.59," 216,137 "
1,2018,MCI,Kansas City International,Kansas City,MO,350.47,432.21," 213,053 "
1,2018,SNA,John Wayne Airport-Orange County,Santa Ana,CA,349.15,430.58," 204,936 "
1,2018,DAL,Dallas Love Field,Dallas-Love Field,TX,290.87,358.72," 202,583 "
1,2018,CLE,Cleveland-Hopkins International,Cleveland,OH,319.70,394.27," 201,673 "
1,2018,OAK,Metro Oakland International,Oakland,CA,272.73,336.34," 200,137 "
1,2018,IND,Indianapolis International,Indianapolis,IN,340.22,419.58," 198,766 "
1,2018,MSY,Louis Armstrong New Orleans International,New Orleans,LA,299.80,369.72," 193,064 "
1,2018,SAT,San Antonio International,San Antonio,TX,359.32,443.12," 192,841 "
1,2018,PIT,Pittsburgh International,Pittsburgh,PA,341.60,421.27," 191,112 "
1,2018,SJU,Luis Munoz Marin International,San Juan,PR,267.57,329.98," 189,783 "
1,2018,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,327.55,403.95," 185,119 "
1,2018,CMH,John Glenn Columbus International,Columbus,OH,362.02,446.46," 169,279 "
1,2018,HOU,William P Hobby,Houston-Hobby,TX,322.40,397.59," 158,759 "
1,2018,BDL,Bradley International,Hartford,CT,358.13,441.66," 149,278 "
1,2018,RSW,Southwest Florida International,Fort Myers,FL,292.74,361.02," 145,234 "
1,2018,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,333.58,411.38," 138,930 "
1,2018,JAX,Jacksonville International,Jacksonville,FL,380.18,468.86," 136,835 "
1,2018,ONT,Ontario International,Ontario,CA,315.54,389.13," 133,763 "
1,2018,MKE,General Mitchell International,Milwaukee,WI,328.70,405.37," 128,618 "
1,2018,BUR,Bob Hope,Burbank,CA,252.69,311.63," 121,569 "
1,2018,RIC,Richmond International,Richmond,VA,416.10,513.15," 104,981 "
1,2018,OMA,Eppley Airfield,Omaha,NE,361.60,445.94," 103,299 "
1,2018,CHS,Charleston AFB/International,Charleston,SC,378.50,466.79," 103,220 "
1,2018,BUF,Buffalo Niagara International,Buffalo,NY,316.75,390.62," 99,498 "
1,2018,MEM,Memphis International,Memphis,TN,392.39,483.91," 96,749 "
1,2018,BOI,Boise Air Terminal,Boise,ID,346.11,426.84," 95,676 "
1,2018,ORF,Norfolk International,Norfolk,VA,415.10,511.92," 93,202 "
1,2018,ABQ,Albuquerque International Sunport,Albuquerque,NM,329.37,406.19," 93,085 "
1,2018,SDF,Louisville Muhammad Ali International,Louisville,KY,389.81,480.73," 88,827 "
1,2018,OGG,Kahului Airport,Kahului,HI,307.68,379.45," 87,156 "
1,2018,ANC,Ted Stevens Anchorage International,Anchorage,AK,462.04,569.81," 86,346 "
1,2018,OKC,Will Rogers World,Oklahoma City,OK,391.25,482.50," 85,569 "
1,2018,GRR,Gerald R. Ford International,Grand Rapids,MI,380.95,469.80," 84,779 "
1,2018,ELP,El Paso International,El Paso,TX,376.49,464.30," 84,067 "
1,2018,GEG,Spokane International,Spokane,WA,350.03,431.67," 81,039 "
1,2018,PVD,Rhode Island Tf Green International,Providence,RI,308.86,380.90," 78,143 "
1,2018,RNO,Reno/Tahoe International,Reno,NV,337.33,416.02," 77,297 "
1,2018,TUS,Tucson International,Tucson,AZ,380.60,469.37," 72,129 "
1,2018,DSM,Des Moines International,Des Moines,IA,381.05,469.92," 68,593 "
1,2018,LGB,Long Beach Airport,Long Beach,CA,182.65,225.25," 66,667 "
1,2018,SYR,Syracuse Hancock International,Syracuse,NY,396.42,488.88," 64,393 "
1,2018,TUL,Tulsa International,Tulsa,OK,396.66,489.18," 63,276 "
1,2018,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,418.66,516.30," 63,095 "
1,2018,SAV,Savannah/Hilton Head International,Savannah,GA,408.85,504.21," 60,848 "
1,2018,ALB,Albany International,Albany,NY,398.01,490.85," 60,750 "
1,2018,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,370.92,457.43," 60,469 "
1,2018,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,454.74,560.80," 59,880 "
1,2018,HPN,Westchester County,White Plains,NY,429.25,529.37," 59,717 "
1,2018,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,320.91,395.76," 56,370 "
1,2018,TYS,McGhee Tyson,Knoxville,TN,457.87,564.67," 52,127 "
1,2018,GSP,Greenville-Spartanburg International,Greer,SC,427.10,526.72," 49,712 "
1,2018,PNS,Pensacola International,Pensacola,FL,443.94,547.49," 48,548 "
1,2018,MYR,Myrtle Beach International,Myrtle Beach,SC,330.92,408.10," 48,441 "
1,2018,LIH,Lihue Airport,Lihue,HI,286.63,353.48," 48,397 "
1,2018,FAT,Fresno Yosemite International,Fresno,CA,408.45,503.71," 46,134 "
1,2018,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,437.12,539.08," 45,445 "
1,2018,COS,City of Colorado Springs Municipal,Colorado Springs,CO,339.30,418.44," 45,269 "
1,2018,PWM,Portland International Jetport,Portland,ME,372.30,459.14," 44,250 "
1,2018,MSN,Dane County Regional-Truax Field,Madison,WI,483.72,596.54," 43,704 "
1,2018,AVL,Asheville Regional,Asheville,NC,356.39,439.51," 41,151 "
1,2018,BZN,Bozeman Yellowstone International,Bozeman,MT,511.59,630.91," 40,515 "
1,2018,XNA,Northwest Arkansas National,Fayetteville,AR,551.11,679.66," 39,233 "
1,2018,PSP,Palm Springs International,Palm Springs,CA,387.98,478.47," 38,263 "
1,2018,PIE,St Pete Clearwater International,St. Petersburg,FL,120.36,148.43," 36,368 "
1,2018,SFB,Orlando Sanford International,Sanford,FL,117.66,145.10," 36,207 "
1,2018,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,399.36,492.50," 35,754 "
1,2018,GSO,Piedmont Triad International,Greensboro/High Point,NC,444.60,548.29," 35,501 "
1,2018,EUG,Mahlon Sweet Field,Eugene,OR,358.20,441.75," 35,248 "
1,2018,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,436.92,538.82," 31,684 "
1,2018,MDT,Harrisburg International,Harrisburg,PA,470.47,580.20," 30,021 "
1,2018,HVN,Tweed New Haven,New Haven,CT,330.21,407.23," 29,901 "
1,2018,FSD,Joe Foss Field,Sioux Falls,SD,419.24,517.03," 29,430 "
1,2018,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,601.49,741.78," 29,219 "
1,2018,MHT,Manchester Boston Regional,Manchester,NH,370.02,456.32," 28,752 "
1,2018,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,156.36,192.83," 28,563 "
1,2018,ISP,Long Island MacArthur,Islip,NY,252.17,310.99," 28,511 "
1,2018,BTV,Burlington International,Burlington,VT,419.34,517.15," 28,133 "
1,2018,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,456.88,563.45," 28,082 "
1,2018,PGD,Punta Gorda Airport,Punta Gorda,FL,130.24,160.62," 27,827 "
1,2018,MAF,Midland International Air and Space Port,Midland/Odessa,TX,464.30,572.60," 27,092 "
1,2018,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,567.42,699.76," 27,019 "
1,2018,LEX,Blue Grass,Lexington,KY,431.45,532.09," 26,888 "
1,2018,ITO,Hilo International,Hilo,HI,255.11,314.61," 26,542 "
1,2018,SGF,Springfield-Branson National,Springfield,MO,451.13,556.35," 25,336 "
1,2018,ILM,Wilmington International,Wilmington,NC,452.52,558.06," 25,288 "
1,2018,MFE,McAllen International,Mission/McAllen/Edinburg,TX,505.26,623.11," 24,946 "
1,2018,DAY,James M Cox/Dayton International,Dayton,OH,403.54,497.67," 24,815 "
1,2018,SBA,Santa Barbara Municipal,Santa Barbara,CA,509.05,627.78," 24,159 "
1,2018,ATW,Appleton International,Appleton,WI,459.23,566.34," 23,844 "
1,2018,FAR,Hector International,Fargo,ND,505.88,623.87," 23,418 "
1,2018,CAE,Columbia Metropolitan,Columbia,SC,486.47,599.94," 23,115 "
1,2018,RDM,Roberts Field,Bend/Redmond,OR,383.59,473.05," 22,481 "
1,2018,ECP,Northwest Florida Beaches International,Panama City,FL,465.56,574.15," 22,302 "
1,2018,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,315.47,389.05," 21,461 "
1,2018,LBB,Lubbock Preston Smith International,Lubbock,TX,411.43,507.40," 21,453 "
1,2018,FAI,Fairbanks International,Fairbanks,AK,413.93,510.48," 20,935 "
1,2018,CHA,Lovell Field,Chattanooga,TN,415.46,512.37," 20,591 "
1,2018,MFR,Rogue Valley International - Medford,Medford,OR,367.61,453.35," 20,534 "
1,2018,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,431.79,532.50," 19,336 "
1,2018,HRL,Valley International,Harlingen/San Benito,TX,358.22,441.77," 19,162 "
1,2018,SBN,South Bend International,South Bend,IN,387.04,477.31," 18,972 "
1,2018,BQN,Rafael Hernandez,Aguadilla,PR,192.72,237.67," 18,723 "
1,2018,ACY,Atlantic City International,Atlantic City,NJ,109.92,135.55," 18,684 "
1,2018,FWA,Fort Wayne International,Fort Wayne,IN,421.96,520.38," 18,368 "
1,2018,MSO,Missoula Montana,Missoula,MT,452.58,558.14," 17,538 "
1,2018,TTN,Trenton Mercer,Trenton,NJ,136.16,167.91," 17,074 "
1,2018,BIL,Billings Logan International,Billings,MT,454.61,560.64," 16,853 "
1,2018,CAK,Akron-Canton Regional,Akron,OH,340.50,419.92," 16,819 "
1,2018,PVU,Provo Municipal,Provo,UT,120.08,148.09," 16,698 "
1,2018,STT,Cyril E King,Charlotte Amalie,VI,422.68,521.27," 16,470 "
1,2018,PIA,General Downing - Peoria International,Peoria,IL,338.19,417.08," 16,235 "
1,2018,TLH,Tallahassee International,Tallahassee,FL,534.29,658.91," 15,873 "
1,2018,FCA,Glacier Park International,Kalispell,MT,468.13,577.32," 15,752 "
1,2018,AMA,Rick Husband Amarillo International,Amarillo,TX,422.98,521.64," 15,675 "
1,2018,FNT,Bishop International,Flint,MI,351.72,433.76," 15,586 "
1,2018,BLI,Bellingham International,Bellingham,WA,266.25,328.35," 15,449 "
1,2018,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,472.16,582.29," 15,211 "
1,2018,GRB,Green Bay Austin Straubel International,Green Bay,WI,565.55,697.46," 13,883 "
1,2018,ROA,Roanoke Blacksburg Regional,Roanoke,VA,489.03,603.09," 13,876 "
1,2018,CRP,Corpus Christi International,Corpus Christi,TX,436.64,538.48," 13,659 "
1,2018,BGR,Bangor International,Bangor,ME,360.63,444.75," 13,620 "
1,2018,TVC,Cherry Capital,Traverse City,MI,592.10,730.20," 13,467 "
1,2018,CHO,Charlottesville Albemarle,Charlottesville,VA,425.90,525.24," 12,997 "
1,2018,SHV,Shreveport Regional,Shreveport,LA,523.37,645.45," 12,932 "
1,2018,JAC,Jackson Hole,Jackson,WY,711.94,877.99," 12,872 "
1,2018,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,282.39,348.26," 12,824 "
1,2018,AGS,Augusta Regional at Bush Field,Augusta,GA,445.88,549.88," 12,759 "
1,2018,SBP,San Luis County Regional,San Luis Obispo,CA,490.97,605.48," 12,654 "
1,2018,RAP,Rapid City Regional,Rapid City,SD,488.54,602.49," 12,572 "
1,2018,DAB,Daytona Beach International,Daytona Beach,FL,375.07,462.55," 12,522 "
1,2018,MLI,Quad Cities International,Moline,IL,376.96,464.89," 12,282 "
1,2018,BIS,Bismarck Municipal,Bismarck/Mandan,ND,440.79,543.61," 11,676 "
1,2018,IDA,Idaho Falls Regional,Idaho Falls,ID,502.96,620.28," 11,225 "
1,2018,GNV,Gainesville Regional,Gainesville,FL,462.17,569.97," 11,203 "
1,2018,EYW,Key West International,Key West,FL,433.62,534.76," 10,903 "
1,2018,JNU,Juneau International,Juneau,AK,437.31,539.31," 10,616 "
1,2018,MOB,Mobile Regional,Mobile,AL,567.25,699.55," 10,320 "
1,2018,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,435.48,537.05," 10,160 "
1,2018,BLV,Scott AFB MidAmerica St Louis,Belleville,IL,141.85,174.94," 9,682 "
1,2018,GJT,Grand Junction Regional,Grand Junction,CO,473.82,584.33," 9,506 "
1,2018,LCK,Rickenbacker International,Columbus,OH,148.08,182.61," 9,227 "
1,2018,MLB,Melbourne Orlando International,Melbourne,FL,415.70,512.65," 9,191 "
1,2018,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,530.51,654.24," 9,179 "
1,2018,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,550.87,679.36," 8,915 "
1,2018,MRY,Monterey Regional,Monterey,CA,353.82,436.35," 8,795 "
1,2018,BRO,Brownsville South Padre Island International,Brownsville,TX,480.53,592.61," 8,462 "
1,2018,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,422.70,521.30," 8,273 "
1,2018,CRW,West Virginia International Yeager,Charleston/Dunbar,WV,569.68,702.55," 8,136 "
