Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
3,2018,LAX,Los Angeles International,Los Angeles,CA,348.76,424.32," 941,283 "
3,2018,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,328.39,399.53," 768,604 "
3,2018,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,357.92,435.46," 744,001 "
3,2018,DEN,Denver International,Denver,CO,296.49,360.72," 743,828 "
3,2018,EWR,Newark Liberty International,Newark,NJ,394.44,479.90," 696,941 "
3,2018,BOS,Logan International,Boston,MA,318.11,387.03," 689,719 "
3,2018,SEA,Seattle/Tacoma International,Seattle,WA,327.17,398.05," 650,806 "
3,2018,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,373.17,454.02," 626,404 "
3,2018,MCO,Orlando International,Orlando,FL,245.20,298.32," 619,182 "
3,2018,SFO,San Francisco International,San Francisco,CA,366.82,446.30," 603,738 "
3,2018,PHX,Phoenix Sky Harbor International,Phoenix,AZ,341.98,416.07," 586,781 "
3,2018,LGA,LaGuardia,New York-La Guardia,NY,320.03,389.36," 548,754 "
3,2018,JFK,John F. Kennedy International,New York-JFK,NY,375.59,456.97," 542,893 "
3,2018,LAS,Harry Reid International,Las Vegas,NV,231.05,281.10," 505,713 "
3,2018,MSP,Minneapolis-St Paul International,Minneapolis,MN,359.76,437.70," 465,865 "
3,2018,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,404.89,492.61," 441,705 "
3,2018,PHL,Philadelphia International,Philadelphia,PA,371.74,452.28," 438,509 "
3,2018,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,239.17,290.99," 427,330 "
3,2018,SAN,San Diego International,San Diego,CA,321.83,391.55," 419,354 "
3,2018,DTW,Detroit Metro Wayne County,Detroit,MI,359.43,437.30," 412,494 "
3,2018,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,350.77,426.77," 380,547 "
3,2018,TPA,Tampa International,Tampa,FL,309.92,377.06," 375,092 "
3,2018,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,315.47,383.81," 355,097 "
3,2018,AUS,Austin - Bergstrom International,Austin,TX,326.29,396.99," 346,713 "
3,2018,MIA,Miami International,Miami,FL,310.92,378.28," 345,604 "
3,2018,PDX,Portland International,Portland,OR,320.51,389.95," 316,001 "
3,2018,BNA,Nashville International,Nashville,TN,341.80,415.85," 309,561 "
3,2018,SLC,Salt Lake City International,Salt Lake City,UT,350.07,425.91," 306,731 "
3,2018,CLT,Charlotte Douglas International,Charlotte,NC,418.41,509.06," 299,028 "
3,2018,RDU,Raleigh-Durham International,Raleigh/Durham,NC,336.05,408.85," 280,802 "
3,2018,SMF,Sacramento International,Sacramento,CA,339.00,412.45," 259,223 "
3,2018,HNL,Daniel K Inouye International,Honolulu,HI,375.07,456.33," 256,498 "
3,2018,MDW,Chicago Midway International,Chicago-Midway,IL,305.07,371.17," 256,060 "
3,2018,STL,St Louis Lambert International,St. Louis,MO,364.82,443.85," 228,095 "
3,2018,SJC,Norman Y. Mineta San Jose International,San Jose,CA,299.50,364.39," 220,072 "
3,2018,IAD,Washington Dulles International,Washington-Dulles,DC,423.12,514.79," 216,137 "
3,2018,MCI,Kansas City International,Kansas City,MO,343.49,417.91," 213,053 "
3,2018,SNA,John Wayne Airport-Orange County,Santa Ana,CA,368.79,448.69," 204,936 "
3,2018,DAL,Dallas Love Field,Dallas-Love Field,TX,302.73,368.32," 202,583 "
3,2018,CLE,Cleveland-Hopkins International,Cleveland,OH,315.92,384.37," 201,673 "
3,2018,OAK,Metro Oakland International,Oakland,CA,286.27,348.29," 200,137 "
3,2018,IND,Indianapolis International,Indianapolis,IN,340.23,413.94," 198,766 "
3,2018,MSY,Louis Armstrong New Orleans International,New Orleans,LA,293.01,356.49," 193,064 "
3,2018,SAT,San Antonio International,San Antonio,TX,344.59,419.24," 192,841 "
3,2018,PIT,Pittsburgh International,Pittsburgh,PA,348.65,424.18," 191,112 "
3,2018,SJU,Luis Munoz Marin International,San Juan,PR,272.06,331.00," 189,783 "
3,2018,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,309.77,376.88," 185,119 "
3,2018,CMH,John Glenn Columbus International,Columbus,OH,356.48,433.71," 169,279 "
3,2018,HOU,William P Hobby,Houston-Hobby,TX,340.72,414.53," 158,759 "
3,2018,BDL,Bradley International,Hartford,CT,369.56,449.62," 149,278 "
3,2018,RSW,Southwest Florida International,Fort Myers,FL,318.48,387.48," 145,234 "
3,2018,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,327.94,398.99," 138,930 "
3,2018,JAX,Jacksonville International,Jacksonville,FL,347.42,422.69," 136,835 "
3,2018,ONT,Ontario International,Ontario,CA,335.09,407.69," 133,763 "
3,2018,MKE,General Mitchell International,Milwaukee,WI,331.84,403.73," 128,618 "
3,2018,BUR,Bob Hope,Burbank,CA,272.58,331.63," 121,569 "
3,2018,RIC,Richmond International,Richmond,VA,390.69,475.33," 104,981 "
3,2018,OMA,Eppley Airfield,Omaha,NE,343.22,417.57," 103,299 "
