Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
1,2019,LAX,Los Angeles International,Los Angeles,CA,335.56,407.13," 941,283 "
1,2019,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,355.00,430.72," 768,604 "
1,2019,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,378.36,459.05," 744,001 "
1,2019,DEN,Denver International,Denver,CO,304.01,368.85," 743,828 "
1,2019,EWR,Newark Liberty International,Newark,NJ,404.37,490.61," 696,941 "
1,2019,BOS,Logan International,Boston,MA,329.75,400.08," 689,719 "
1,2019,SEA,Seattle/Tacoma International,Seattle,WA,326.82,396.52," 650,806 "
1,2019,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,405.94,492.52," 626,404 "
1,2019,MCO,Orlando International,Orlando,FL,253.91,308.07," 619,182 "
1,2019,SFO,San Francisco International,San Francisco,CA,379.63,460.60," 603,738 "
1,2019,PHX,Phoenix Sky Harbor International,Phoenix,AZ,339.24,411.59," 586,781 "
1,2019,LGA,LaGuardia,New York-La Guardia,NY,327.80,397.71," 548,754 "
1,2019,JFK,John F. Kennedy International,New York-JFK,NY,384.65,466.69," 542,893 "
1,2019,LAS,Harry Reid International,Las Vegas,NV,245.95,298.41," 505,713 "
1,2019,MSP,Minneapolis-St Paul International,Minneapolis,MN,394.36,478.47," 465,865 "
1,2019,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,421.28,511.14," 441,705 "
1,2019,PHL,Philadelphia International,Philadelphia,PA,380.51,461.66," 438,509 "
1,2019,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,264.87,321.36," 427,330 "
1,2019,SAN,San Diego International,San Diego,CA,314.04,381.02," 419,354 "
1,2019,DTW,Detroit Metro Wayne County,Detroit,MI,391.86,475.44," 412,494 "
1,2019,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,363.55,441.09," 380,547 "
1,2019,TPA,Tampa International,Tampa,FL,303.94,368.76," 375,092 "
1,2019,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,319.84,388.06," 355,097 "
1,2019,AUS,Austin - Bergstrom International,Austin,TX,344.56,418.05," 346,713 "
1,2019,MIA,Miami International,Miami,FL,338.69,410.93," 345,604 "
1,2019,PDX,Portland International,Portland,OR,330.54,401.03," 316,001 "
1,2019,BNA,Nashville International,Nashville,TN,334.07,405.32," 309,561 "
1,2019,SLC,Salt Lake City International,Salt Lake City,UT,387.94,470.69," 306,731 "
1,2019,CLT,Charlotte Douglas International,Charlotte,NC,431.63,523.69," 299,028 "
1,2019,RDU,Raleigh-Durham International,Raleigh/Durham,NC,338.31,410.47," 280,802 "
1,2019,SMF,Sacramento International,Sacramento,CA,316.61,384.14," 259,223 "
1,2019,HNL,Daniel K Inouye International,Honolulu,HI,349.10,423.56," 256,498 "
1,2019,MDW,Chicago Midway International,Chicago-Midway,IL,312.84,379.56," 256,060 "
1,2019,STL,St Louis Lambert International,St. Louis,MO,363.89,441.51," 228,095 "
1,2019,SJC,Norman Y. Mineta San Jose International,San Jose,CA,279.04,338.56," 220,072 "
1,2019,IAD,Washington Dulles International,Washington-Dulles,DC,445.25,540.21," 216,137 "
1,2019,MCI,Kansas City International,Kansas City,MO,361.27,438.33," 213,053 "
1,2019,SNA,John Wayne Airport-Orange County,Santa Ana,CA,360.70,437.63," 204,936 "
1,2019,DAL,Dallas Love Field,Dallas-Love Field,TX,304.52,369.47," 202,583 "
1,2019,CLE,Cleveland-Hopkins International,Cleveland,OH,320.08,388.34," 201,673 "
1,2019,OAK,Metro Oakland International,Oakland,CA,276.66,335.67," 200,137 "
1,2019,IND,Indianapolis International,Indianapolis,IN,361.80,438.96," 198,766 "
1,2019,MSY,Louis Armstrong New Orleans International,New Orleans,LA,302.03,366.44," 193,064 "
1,2019,SAT,San Antonio International,San Antonio,TX,349.98,424.63," 192,841 "
1,2019,PIT,Pittsburgh International,Pittsburgh,PA,352.17,427.29," 191,112 "
1,2019,SJU,Luis Munoz Marin International,San Juan,PR,284.45,345.12," 189,783 "
1,2019,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,338.70,410.94," 185,119 "
1,2019,CMH,John Glenn Columbus International,Columbus,OH,356.69,432.77," 169,279 "
1,2019,HOU,William P Hobby,Houston-Hobby,TX,331.95,402.75," 158,759 "
1,2019,BDL,Bradley International,Hartford,CT,363.98,441.61," 149,278 "
1,2019,RSW,Southwest Florida International,Fort Myers,FL,290.42,352.36," 145,234 "
1,2019,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,340.81,413.50," 138,930 "
1,2019,JAX,Jacksonville International,Jacksonville,FL,340.40,413.00," 136,835 "
1,2019,ONT,Ontario International,Ontario,CA,319.03,387.07," 133,763 "
1,2019,MKE,General Mitchell International,Milwaukee,WI,347.14,421.18," 128,618 "
1,2019,BUR,Bob Hope,Burbank,CA,261.84,317.69," 121,569 "
1,2019,RIC,Richmond International,Richmond,VA,384.09,466.02," 104,981 "
1,2019,OMA,Eppley Airfield,Omaha,NE,354.55,430.17," 103,299 "
1,2019,CHS,Charleston AFB/International,Charleston,SC,362.93,440.34," 103,220 "
1,2019,BUF,Buffalo Niagara International,Buffalo,NY,307.78,373.42," 99,498 "
1,2019,MEM,Memphis International,Memphis,TN,383.04,464.74," 96,749 "
1,2019,BOI,Boise Air Terminal,Boise,ID,346.25,420.10," 95,676 "
1,2019,ORF,Norfolk International,Norfolk,VA,390.73,474.06," 93,202 "
1,2019,ABQ,Albuquerque International Sunport,Albuquerque,NM,351.61,426.60," 93,085 "
1,2019,SDF,Louisville Muhammad Ali International,Louisville,KY,377.83,458.42," 88,827 "
1,2019,OGG,Kahului Airport,Kahului,HI,302.48,366.99," 87,156 "
1,2019,ANC,Ted Stevens Anchorage International,Anchorage,AK,477.54,579.39," 86,346 "
