Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
1,2021,LAX,Los Angeles International,Los Angeles,CA,246.23,287.10," 941,283 "
1,2021,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,243.53,283.95," 768,604 "
1,2021,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,253.12,295.13," 744,001 "
1,2021,DEN,Denver International,Denver,CO,230.59,268.86," 743,828 "
1,2021,EWR,Newark Liberty International,Newark,NJ,238.21,277.75," 696,941 "
1,2021,BOS,Logan International,Boston,MA,243.31,283.70," 689,719 "
1,2021,SEA,Seattle/Tacoma International,Seattle,WA,256.21,298.74," 650,806 "
1,2021,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,273.12,318.45," 626,404 "
1,2021,MCO,Orlando International,Orlando,FL,184.58,215.22," 619,182 "
1,2021,SFO,San Francisco International,San Francisco,CA,302.27,352.44," 603,738 "
1,2021,PHX,Phoenix Sky Harbor International,Phoenix,AZ,246.15,287.00," 586,781 "
1,2021,LGA,LaGuardia,New York-La Guardia,NY,234.40,273.30," 548,754 "
1,2021,JFK,John F. Kennedy International,New York-JFK,NY,263.79,307.58," 542,893 "
1,2021,LAS,Harry Reid International,Las Vegas,NV,196.27,228.84," 505,713 "
1,2021,MSP,Minneapolis-St Paul International,Minneapolis,MN,274.51,320.07," 465,865 "
1,2021,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,286.07,333.55," 441,705 "
1,2021,PHL,Philadelphia International,Philadelphia,PA,237.89,277.38," 438,509 "
1,2021,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,187.35,218.44," 427,330 "
1,2021,SAN,San Diego International,San Diego,CA,270.39,315.27," 419,354 "
1,2021,DTW,Detroit Metro Wayne County,Detroit,MI,294.17,343.00," 412,494 "
1,2021,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,282.17,329.01," 380,547 "
1,2021,TPA,Tampa International,Tampa,FL,225.39,262.79," 375,092 "
1,2021,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,237.39,276.79," 355,097 "
1,2021,AUS,Austin - Bergstrom International,Austin,TX,266.01,310.16," 346,713 "
1,2021,MIA,Miami International,Miami,FL,224.43,261.68," 345,604 "
1,2021,PDX,Portland International,Portland,OR,291.84,340.28," 316,001 "
1,2021,BNA,Nashville International,Nashville,TN,248.95,290.27," 309,561 "
1,2021,SLC,Salt Lake City International,Salt Lake City,UT,314.42,366.60," 306,731 "
1,2021,CLT,Charlotte Douglas International,Charlotte,NC,279.76,326.20," 299,028 "
1,2021,RDU,Raleigh-Durham International,Raleigh/Durham,NC,253.87,296.01," 280,802 "
1,2021,SMF,Sacramento International,Sacramento,CA,272.15,317.32," 259,223 "
1,2021,HNL,Daniel K Inouye International,Honolulu,HI,291.19,339.52," 256,498 "
1,2021,MDW,Chicago Midway International,Chicago-Midway,IL,208.10,242.64," 256,060 "
1,2021,STL,St Louis Lambert International,St. Louis,MO,279.59,325.99," 228,095 "
1,2021,SJC,Norman Y. Mineta San Jose International,San Jose,CA,248.33,289.55," 220,072 "
1,2021,IAD,Washington Dulles International,Washington-Dulles,DC,326.23,380.38," 216,137 "
1,2021,MCI,Kansas City International,Kansas City,MO,295.17,344.16," 213,053 "
1,2021,SNA,John Wayne Airport-Orange County,Santa Ana,CA,272.85,318.14," 204,936 "
1,2021,DAL,Dallas Love Field,Dallas-Love Field,TX,218.90,255.23," 202,583 "
1,2021,CLE,Cleveland-Hopkins International,Cleveland,OH,232.68,271.29," 201,673 "
1,2021,OAK,Metro Oakland International,Oakland,CA,219.32,255.72," 200,137 "
1,2021,IND,Indianapolis International,Indianapolis,IN,269.97,314.78," 198,766 "
1,2021,MSY,Louis Armstrong New Orleans International,New Orleans,LA,231.74,270.20," 193,064 "
1,2021,SAT,San Antonio International,San Antonio,TX,292.40,340.93," 192,841 "
1,2021,PIT,Pittsburgh International,Pittsburgh,PA,265.85,309.97," 191,112 "
1,2021,SJU,Luis Munoz Marin International,San Juan,PR,177.27,206.70," 189,783 "
1,2021,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,248.40,289.63," 185,119 "
1,2021,CMH,John Glenn Columbus International,Columbus,OH,278.95,325.25," 169,279 "
1,2021,HOU,William P Hobby,Houston-Hobby,TX,236.30,275.52," 158,759 "
1,2021,BDL,Bradley International,Hartford,CT,258.38,301.27," 149,278 "
1,2021,RSW,Southwest Florida International,Fort Myers,FL,233.28,271.99," 145,234 "
1,2021,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,258.10,300.94," 138,930 "
1,2021,JAX,Jacksonville International,Jacksonville,FL,292.07,340.55," 136,835 "
1,2021,ONT,Ontario International,Ontario,CA,260.48,303.71," 133,763 "
1,2021,MKE,General Mitchell International,Milwaukee,WI,293.78,342.54," 128,618 "
1,2021,BUR,Bob Hope,Burbank,CA,229.94,268.11," 121,569 "
1,2021,RIC,Richmond International,Richmond,VA,268.52,313.09," 104,981 "
1,2021,OMA,Eppley Airfield,Omaha,NE,295.22,344.22," 103,299 "
1,2021,CHS,Charleston AFB/International,Charleston,SC,289.74,337.83," 103,220 "
1,2021,BUF,Buffalo Niagara International,Buffalo,NY,279.19,325.53," 99,498 "
1,2021,MEM,Memphis International,Memphis,TN,281.29,327.98," 96,749 "
1,2021,BOI,Boise Air Terminal,Boise,ID,277.55,323.61," 95,676 "
1,2021,ORF,Norfolk International,Norfolk,VA,308.59,359.81," 93,202 "
1,2021,ABQ,Albuquerque International Sunport,Albuquerque,NM,278.90,325.18," 93,085 "
1,2021,SDF,Louisville Muhammad Ali International,Louisville,KY,289.43,337.46," 88,827 "
1,2021,OGG,Kahului Airport,Kahului,HI,280.21,326.72," 87,156 "
1,2021,ANC,Ted Stevens Anchorage International,Anchorage,AK,425.53,496.16," 86,346 "
1,2021,OKC,Will Rogers World,Oklahoma City,OK,302.75,352.99," 85,569 "
1,2021,GRR,Gerald R. Ford International,Grand Rapids,MI,279.44,325.82," 84,779 "
1,2021,ELP,El Paso International,El Paso,TX,289.92,338.04," 84,067 "
1,2021,GEG,Spokane International,Spokane,WA,283.24,330.25," 81,039 "
