Quarter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
3,2019,LAX,Los Angeles International,Los Angeles,CA,351.63,420.43," 941,283 "
3,2019,ORD,Chicago O'Hare International,Chicago-O'Hare,IL,333.50,398.74," 768,604 "
3,2019,ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,362.13,432.98," 744,001 "
3,2019,DEN,Denver International,Denver,CO,289.50,346.14," 743,828 "
3,2019,EWR,Newark Liberty International,Newark,NJ,394.62,471.82," 696,941 "
3,2019,BOS,Logan International,Boston,MA,329.45,393.91," 689,719 "
3,2019,SEA,Seattle/Tacoma International,Seattle,WA,328.27,392.50," 650,806 "
3,2019,DFW,Dallas/Fort Worth International,Dallas-DFW,TX,395.57,472.96," 626,404 "
3,2019,MCO,Orlando International,Orlando,FL,242.57,290.02," 619,182 "
3,2019,SFO,San Francisco International,San Francisco,CA,381.90,456.62," 603,738 "
3,2019,PHX,Phoenix Sky Harbor International,Phoenix,AZ,349.07,417.36," 586,781 "
3,2019,LGA,LaGuardia,New York-La Guardia,NY,320.83,383.60," 548,754 "
3,2019,JFK,John F. Kennedy International,New York-JFK,NY,394.62,471.83," 542,893 "
3,2019,LAS,Harry Reid International,Las Vegas,NV,236.08,282.27," 505,713 "
3,2019,MSP,Minneapolis-St Paul International,Minneapolis,MN,345.74,413.38," 465,865 "
3,2019,IAH,George Bush Intercontinental/Houston,Houston-Intercontinental,TX,393.61,470.61," 441,705 "
3,2019,PHL,Philadelphia International,Philadelphia,PA,354.28,423.59," 438,509 "
3,2019,FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,250.74,299.79," 427,330 "
3,2019,SAN,San Diego International,San Diego,CA,322.09,385.10," 419,354 "
3,2019,DTW,Detroit Metro Wayne County,Detroit,MI,360.13,430.58," 412,494 "
3,2019,DCA,Ronald Reagan Washington National,Washington-Reagan National,DC,365.35,436.83," 380,547 "
3,2019,TPA,Tampa International,Tampa,FL,307.02,367.08," 375,092 "
3,2019,BWI,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,321.07,383.88," 355,097 "
3,2019,AUS,Austin - Bergstrom International,Austin,TX,324.68,388.20," 346,713 "
3,2019,MIA,Miami International,Miami,FL,330.78,395.50," 345,604 "
3,2019,PDX,Portland International,Portland,OR,332.32,397.34," 316,001 "
3,2019,BNA,Nashville International,Nashville,TN,331.03,395.79," 309,561 "
3,2019,SLC,Salt Lake City International,Salt Lake City,UT,366.65,438.38," 306,731 "
3,2019,CLT,Charlotte Douglas International,Charlotte,NC,398.88,476.92," 299,028 "
3,2019,RDU,Raleigh-Durham International,Raleigh/Durham,NC,311.18,372.06," 280,802 "
3,2019,SMF,Sacramento International,Sacramento,CA,333.33,398.54," 259,223 "
3,2019,HNL,Daniel K Inouye International,Honolulu,HI,333.60,398.86," 256,498 "
3,2019,MDW,Chicago Midway International,Chicago-Midway,IL,307.56,367.73," 256,060 "
3,2019,STL,St Louis Lambert International,St. Louis,MO,365.88,437.46," 228,095 "
3,2019,SJC,Norman Y. Mineta San Jose International,San Jose,CA,296.46,354.46," 220,072 "
3,2019,IAD,Washington Dulles International,Washington-Dulles,DC,448.88,536.69," 216,137 "
3,2019,MCI,Kansas City International,Kansas City,MO,360.09,430.54," 213,053 "
3,2019,SNA,John Wayne Airport-Orange County,Santa Ana,CA,386.12,461.66," 204,936 "
3,2019,DAL,Dallas Love Field,Dallas-Love Field,TX,324.27,387.71," 202,583 "
3,2019,CLE,Cleveland-Hopkins International,Cleveland,OH,307.93,368.17," 201,673 "
3,2019,OAK,Metro Oakland International,Oakland,CA,297.41,355.60," 200,137 "
3,2019,IND,Indianapolis International,Indianapolis,IN,360.18,430.64," 198,766 "
3,2019,MSY,Louis Armstrong New Orleans International,New Orleans,LA,283.83,339.35," 193,064 "
3,2019,SAT,San Antonio International,San Antonio,TX,352.81,421.83," 192,841 "
3,2019,PIT,Pittsburgh International,Pittsburgh,PA,353.60,422.77," 191,112 "
3,2019,SJU,Luis Munoz Marin International,San Juan,PR,276.60,330.71," 189,783 "
3,2019,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,314.37,375.87," 185,119 "
3,2019,CMH,John Glenn Columbus International,Columbus,OH,358.61,428.77," 169,279 "
3,2019,HOU,William P Hobby,Houston-Hobby,TX,340.74,407.41," 158,759 "
3,2019,BDL,Bradley International,Hartford,CT,377.44,451.28," 149,278 "
3,2019,RSW,Southwest Florida International,Fort Myers,FL,313.64,375.00," 145,234 "
3,2019,PBI,Palm Beach International,West Palm Beach/Palm Beach,FL,332.67,397.75," 138,930 "
3,2019,JAX,Jacksonville International,Jacksonville,FL,328.10,392.29," 136,835 "
3,2019,ONT,Ontario International,Ontario,CA,335.85,401.55," 133,763 "
3,2019,MKE,General Mitchell International,Milwaukee,WI,346.96,414.84," 128,618 "
3,2019,BUR,Bob Hope,Burbank,CA,280.53,335.41," 121,569 "
3,2019,RIC,Richmond International,Richmond,VA,390.31,466.67," 104,981 "
3,2019,OMA,Eppley Airfield,Omaha,NE,371.10,443.70," 103,299 "
3,2019,CHS,Charleston AFB/International,Charleston,SC,336.99,402.92," 103,220 "
3,2019,BUF,Buffalo Niagara International,Buffalo,NY,313.32,374.61," 99,498 "
3,2019,MEM,Memphis International,Memphis,TN,388.54,464.55," 96,749 "
3,2019,BOI,Boise Air Terminal,Boise,ID,344.87,412.34," 95,676 "
3,2019,ORF,Norfolk International,Norfolk,VA,393.61,470.62," 93,202 "
3,2019,ABQ,Albuquerque International Sunport,Albuquerque,NM,363.14,434.18," 93,085 "
3,2019,SDF,Louisville Muhammad Ali International,Louisville,KY,377.35,451.17," 88,827 "
3,2019,OGG,Kahului Airport,Kahului,HI,260.43,311.38," 87,156 "
